"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2016-12-31 23:00:00","2017-01-01 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,867000,867000,1.0066839456558,0,0
"2017-01-01 00:00:00","2017-01-01 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,873501,873501,1.0141650438309,0,0
"2017-01-01 01:00:00","2017-01-01 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,883749,883749,1.026064991951,0,0
"2017-01-01 02:00:00","2017-01-01 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,872500,872500,1.0130039453506,0,0
"2017-01-01 03:00:00","2017-01-01 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,889750,889750,1.0330309867859,0,0
"2017-01-01 04:00:00","2017-01-01 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,893251,893251,1.037094950676,0,0
"2017-01-01 05:00:00","2017-01-01 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,896751,896751,1.0411590337753,0,0
"2017-01-01 06:00:00","2017-01-01 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,895250,895250,1.0394170284271,0,0
"2017-01-01 07:00:00","2017-01-01 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,894000,894000,1.0379660129547,0,0
"2017-01-01 08:00:00","2017-01-01 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,887251,887251,1.0301289558411,0,0
"2017-01-01 09:00:00","2017-01-01 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,890000,890000,1.0333219766617,0,0
"2017-01-01 10:00:00","2017-01-01 11:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,881751,881751,1.0237430334091,0,0
