"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2018-12-31 23:00:00","2019-01-01 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,808000,808000,0.93811649084091,0,0
"2019-01-01 00:00:00","2019-01-01 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,811750,811750,0.94247049093246,0,0
"2019-01-01 01:00:00","2019-01-01 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,821499,821499,0.95378977060318,0,0
"2019-01-01 02:00:00","2019-01-01 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,840000,840000,0.97526997327805,0,0
"2019-01-01 03:00:00","2019-01-01 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,841000,841000,0.97643077373505,0,0
"2019-01-01 04:00:00","2019-01-01 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,842751,842751,0.97846400737762,0,0
"2019-01-01 05:00:00","2019-01-01 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,842500,842500,0.97817248106003,0,0
"2019-01-01 06:00:00","2019-01-01 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,846750,846750,0.98310726881027,0,0
"2019-01-01 07:00:00","2019-01-01 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,826500,826500,0.95959627628326,0,0
"2019-01-01 08:00:00","2019-01-01 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,803749,803749,0.93318122625351,0,0
"2019-01-01 09:00:00","2019-01-01 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,742750,742750,0.86235922574997,0,0
"2019-01-01 10:00:00","2019-01-01 11:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,754998,754998,0.87657976150513,0,0
"2019-01-01 11:00:00","2019-01-01 12:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,789750,789750,0.91692799329758,0,0
