"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","01.01.2017 00:00 - 01.01.2017 00:15 (CET/CEST)","0","206","349"
"BZN|NL","01.01.2017 00:15 - 01.01.2017 00:30 (CET/CEST)","0","204","409"
"BZN|NL","01.01.2017 00:30 - 01.01.2017 00:45 (CET/CEST)","0","207","414"
"BZN|NL","01.01.2017 00:45 - 01.01.2017 01:00 (CET/CEST)","0","206","405"
"BZN|NL","01.01.2017 01:00 - 01.01.2017 01:15 (CET/CEST)","0","203","396"
"BZN|NL","01.01.2017 01:15 - 01.01.2017 01:30 (CET/CEST)","0","207","387"
"BZN|NL","01.01.2017 01:30 - 01.01.2017 01:45 (CET/CEST)","0","212","391"
"BZN|NL","01.01.2017 01:45 - 01.01.2017 02:00 (CET/CEST)","0","211","377"
"BZN|NL","01.01.2017 02:00 - 01.01.2017 02:15 (CET/CEST)","0","215","373"
"BZN|NL","01.01.2017 02:15 - 01.01.2017 02:30 (CET/CEST)","0","220","379"
"BZN|NL","01.01.2017 02:30 - 01.01.2017 02:45 (CET/CEST)","0","220","381"
"BZN|NL","01.01.2017 02:45 - 01.01.2017 03:00 (CET/CEST)","0","221","394"
"BZN|NL","01.01.2017 03:00 - 01.01.2017 03:15 (CET/CEST)","0","221","380"
"BZN|NL","01.01.2017 03:15 - 01.01.2017 03:30 (CET/CEST)","0","221","391"
"BZN|NL","01.01.2017 03:30 - 01.01.2017 03:45 (CET/CEST)","0","220","407"
"BZN|NL","01.01.2017 03:45 - 01.01.2017 04:00 (CET/CEST)","0","223","407"
"BZN|NL","01.01.2017 04:00 - 01.01.2017 04:15 (CET/CEST)","0","223","405"
"BZN|NL","01.01.2017 04:15 - 01.01.2017 04:30 (CET/CEST)","0","223","412"
"BZN|NL","01.01.2017 04:30 - 01.01.2017 04:45 (CET/CEST)","0","223","411"
"BZN|NL","01.01.2017 04:45 - 01.01.2017 05:00 (CET/CEST)","0","223","425"
"BZN|NL","01.01.2017 05:00 - 01.01.2017 05:15 (CET/CEST)","0","224","421"
"BZN|NL","01.01.2017 05:15 - 01.01.2017 05:30 (CET/CEST)","0","222","421"
"BZN|NL","01.01.2017 05:30 - 01.01.2017 05:45 (CET/CEST)","0","222","406"
"BZN|NL","01.01.2017 05:45 - 01.01.2017 06:00 (CET/CEST)","0","220","406"
"BZN|NL","01.01.2017 06:00 - 01.01.2017 06:15 (CET/CEST)","0","222","395"
"BZN|NL","01.01.2017 06:15 - 01.01.2017 06:30 (CET/CEST)","0","223","382"
"BZN|NL","01.01.2017 06:30 - 01.01.2017 06:45 (CET/CEST)","0","223","355"
"BZN|NL","01.01.2017 06:45 - 01.01.2017 07:00 (CET/CEST)","0","223","346"
"BZN|NL","01.01.2017 07:00 - 01.01.2017 07:15 (CET/CEST)","0","222","339"
"BZN|NL","01.01.2017 07:15 - 01.01.2017 07:30 (CET/CEST)","0","222","350"
"BZN|NL","01.01.2017 07:30 - 01.01.2017 07:45 (CET/CEST)","0","223","350"
"BZN|NL","01.01.2017 07:45 - 01.01.2017 08:00 (CET/CEST)","0","224","356"
"BZN|NL","01.01.2017 08:00 - 01.01.2017 08:15 (CET/CEST)","0","224","359"
"BZN|NL","01.01.2017 08:15 - 01.01.2017 08:30 (CET/CEST)","0","224","350"
"BZN|NL","01.01.2017 08:30 - 01.01.2017 08:45 (CET/CEST)","0","223","367"
"BZN|NL","01.01.2017 08:45 - 01.01.2017 09:00 (CET/CEST)","0","223","375"
"BZN|NL","01.01.2017 09:00 - 01.01.2017 09:15 (CET/CEST)","0","223","354"
"BZN|NL","01.01.2017 09:15 - 01.01.2017 09:30 (CET/CEST)","0","223","340"
"BZN|NL","01.01.2017 09:30 - 01.01.2017 09:45 (CET/CEST)","0","222","328"
"BZN|NL","01.01.2017 09:45 - 01.01.2017 10:00 (CET/CEST)","0","221","315"
"BZN|NL","01.01.2017 10:00 - 01.01.2017 10:15 (CET/CEST)","0","219","311"
"BZN|NL","01.01.2017 10:15 - 01.01.2017 10:30 (CET/CEST)","0","216","315"
"BZN|NL","01.01.2017 10:30 - 01.01.2017 10:45 (CET/CEST)","0","219","303"
"BZN|NL","01.01.2017 10:45 - 01.01.2017 11:00 (CET/CEST)","0","217","277"
"BZN|NL","01.01.2017 11:00 - 01.01.2017 11:15 (CET/CEST)","0","212","281"
"BZN|NL","01.01.2017 11:15 - 01.01.2017 11:30 (CET/CEST)","0","214","271"
"BZN|NL","01.01.2017 11:30 - 01.01.2017 11:45 (CET/CEST)","0","210","262"
"BZN|NL","01.01.2017 11:45 - 01.01.2017 12:00 (CET/CEST)","0","216","245"
"BZN|NL","01.01.2017 12:00 - 01.01.2017 12:15 (CET/CEST)","0","215","248"
"BZN|NL","01.01.2017 12:15 - 01.01.2017 12:30 (CET/CEST)","0","215","247"
"BZN|NL","01.01.2017 12:30 - 01.01.2017 12:45 (CET/CEST)","0","217","249"
"BZN|NL","01.01.2017 12:45 - 01.01.2017 13:00 (CET/CEST)","0","214","257"
"BZN|NL","01.01.2017 13:00 - 01.01.2017 13:15 (CET/CEST)","0","215","265"
"BZN|NL","01.01.2017 13:15 - 01.01.2017 13:30 (CET/CEST)","0","217","274"
"BZN|NL","01.01.2017 13:30 - 01.01.2017 13:45 (CET/CEST)","0","215","267"
"BZN|NL","01.01.2017 13:45 - 01.01.2017 14:00 (CET/CEST)","0","212","269"
"BZN|NL","01.01.2017 14:00 - 01.01.2017 14:15 (CET/CEST)","0","208","265"
"BZN|NL","01.01.2017 14:15 - 01.01.2017 14:30 (CET/CEST)","0","208","261"
"BZN|NL","01.01.2017 14:30 - 01.01.2017 14:45 (CET/CEST)","0","211","260"
"BZN|NL","01.01.2017 14:45 - 01.01.2017 15:00 (CET/CEST)","0","218","266"
"BZN|NL","01.01.2017 15:00 - 01.01.2017 15:15 (CET/CEST)","0","219","257"
"BZN|NL","01.01.2017 15:15 - 01.01.2017 15:30 (CET/CEST)","0","220","248"
"BZN|NL","01.01.2017 15:30 - 01.01.2017 15:45 (CET/CEST)","0","219","262"
"BZN|NL","01.01.2017 15:45 - 01.01.2017 16:00 (CET/CEST)","0","216","248"
"BZN|NL","01.01.2017 16:00 - 01.01.2017 16:15 (CET/CEST)","0","220","244"
"BZN|NL","01.01.2017 16:15 - 01.01.2017 16:30 (CET/CEST)","0","221","249"
"BZN|NL","01.01.2017 16:30 - 01.01.2017 16:45 (CET/CEST)","0","218","259"
"BZN|NL","01.01.2017 16:45 - 01.01.2017 17:00 (CET/CEST)","0","219","251"
"BZN|NL","01.01.2017 17:00 - 01.01.2017 17:15 (CET/CEST)","0","217","246"
"BZN|NL","01.01.2017 17:15 - 01.01.2017 17:30 (CET/CEST)","0","217","260"
"BZN|NL","01.01.2017 17:30 - 01.01.2017 17:45 (CET/CEST)","0","214","262"
"BZN|NL","01.01.2017 17:45 - 01.01.2017 18:00 (CET/CEST)","0","202","261"
"BZN|NL","01.01.2017 18:00 - 01.01.2017 18:15 (CET/CEST)","0","171","268"
"BZN|NL","01.01.2017 18:15 - 01.01.2017 18:30 (CET/CEST)","0","138","268"
"BZN|NL","01.01.2017 18:30 - 01.01.2017 18:45 (CET/CEST)","0","108","252"
"BZN|NL","01.01.2017 18:45 - 01.01.2017 19:00 (CET/CEST)","0","92","249"
"BZN|NL","01.01.2017 19:00 - 01.01.2017 19:15 (CET/CEST)","0","97","249"
"BZN|NL","01.01.2017 19:15 - 01.01.2017 19:30 (CET/CEST)","0","102","240"
"BZN|NL","01.01.2017 19:30 - 01.01.2017 19:45 (CET/CEST)","0","82","217"
"BZN|NL","01.01.2017 19:45 - 01.01.2017 20:00 (CET/CEST)","0","68","202"
"BZN|NL","01.01.2017 20:00 - 01.01.2017 20:15 (CET/CEST)","0","61","164"
"BZN|NL","01.01.2017 20:15 - 01.01.2017 20:30 (CET/CEST)","0","67","133"
"BZN|NL","01.01.2017 20:30 - 01.01.2017 20:45 (CET/CEST)","0","65","102"
"BZN|NL","01.01.2017 20:45 - 01.01.2017 21:00 (CET/CEST)","0","41","71"
"BZN|NL","01.01.2017 21:00 - 01.01.2017 21:15 (CET/CEST)","0","32","50"
"BZN|NL","01.01.2017 21:15 - 01.01.2017 21:30 (CET/CEST)","0","45","36"
"BZN|NL","01.01.2017 21:30 - 01.01.2017 21:45 (CET/CEST)","0","38","27"
"BZN|NL","01.01.2017 21:45 - 01.01.2017 22:00 (CET/CEST)","0","67","20"
"BZN|NL","01.01.2017 22:00 - 01.01.2017 22:15 (CET/CEST)","0","113","19"
"BZN|NL","01.01.2017 22:15 - 01.01.2017 22:30 (CET/CEST)","0","76","18"
"BZN|NL","01.01.2017 22:30 - 01.01.2017 22:45 (CET/CEST)","0","61","19"
"BZN|NL","01.01.2017 22:45 - 01.01.2017 23:00 (CET/CEST)","0","56","16"
"BZN|NL","01.01.2017 23:00 - 01.01.2017 23:15 (CET/CEST)","0","50","11"
"BZN|NL","01.01.2017 23:15 - 01.01.2017 23:30 (CET/CEST)","0","71","12"
"BZN|NL","01.01.2017 23:30 - 01.01.2017 23:45 (CET/CEST)","0","68","17"
"BZN|NL","01.01.2017 23:45 - 02.01.2017 00:00 (CET/CEST)","0","99","26"
"BZN|NL","02.01.2017 00:00 - 02.01.2017 00:15 (CET/CEST)","0","136","34"
"BZN|NL","02.01.2017 00:15 - 02.01.2017 00:30 (CET/CEST)","0","77","71"
"BZN|NL","02.01.2017 00:30 - 02.01.2017 00:45 (CET/CEST)","0","103","89"
"BZN|NL","02.01.2017 00:45 - 02.01.2017 01:00 (CET/CEST)","0","158","120"
"BZN|NL","02.01.2017 01:00 - 02.01.2017 01:15 (CET/CEST)","0","168","168"
"BZN|NL","02.01.2017 01:15 - 02.01.2017 01:30 (CET/CEST)","0","155","164"
"BZN|NL","02.01.2017 01:30 - 02.01.2017 01:45 (CET/CEST)","0","171","167"
"BZN|NL","02.01.2017 01:45 - 02.01.2017 02:00 (CET/CEST)","0","141","175"
"BZN|NL","02.01.2017 02:00 - 02.01.2017 02:15 (CET/CEST)","0","140","176"
"BZN|NL","02.01.2017 02:15 - 02.01.2017 02:30 (CET/CEST)","0","115","202"
"BZN|NL","02.01.2017 02:30 - 02.01.2017 02:45 (CET/CEST)","0","124","207"
"BZN|NL","02.01.2017 02:45 - 02.01.2017 03:00 (CET/CEST)","0","171","215"
"BZN|NL","02.01.2017 03:00 - 02.01.2017 03:15 (CET/CEST)","0","189","207"
"BZN|NL","02.01.2017 03:15 - 02.01.2017 03:30 (CET/CEST)","0","214","218"
"BZN|NL","02.01.2017 03:30 - 02.01.2017 03:45 (CET/CEST)","0","222","239"
"BZN|NL","02.01.2017 03:45 - 02.01.2017 04:00 (CET/CEST)","0","217","265"
"BZN|NL","02.01.2017 04:00 - 02.01.2017 04:15 (CET/CEST)","0","212","262"
"BZN|NL","02.01.2017 04:15 - 02.01.2017 04:30 (CET/CEST)","0","209","282"
