"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","01.01.2024 00:00 - 01.01.2024 00:15 (CET/CEST)","0","2996","2397"
"BZN|NL","01.01.2024 00:15 - 01.01.2024 00:30 (CET/CEST)","0","2974","2441"
"BZN|NL","01.01.2024 00:30 - 01.01.2024 00:45 (CET/CEST)","0","2972","2433"
"BZN|NL","01.01.2024 00:45 - 01.01.2024 01:00 (CET/CEST)","0","2976","2435"
"BZN|NL","01.01.2024 01:00 - 01.01.2024 01:15 (CET/CEST)","0","3014","2427"
"BZN|NL","01.01.2024 01:15 - 01.01.2024 01:30 (CET/CEST)","0","3007","2418"
"BZN|NL","01.01.2024 01:30 - 01.01.2024 01:45 (CET/CEST)","0","2980","2334"
"BZN|NL","01.01.2024 01:45 - 01.01.2024 02:00 (CET/CEST)","0","2981","2271"
"BZN|NL","01.01.2024 02:00 - 01.01.2024 02:15 (CET/CEST)","0","2964","2238"
"BZN|NL","01.01.2024 02:15 - 01.01.2024 02:30 (CET/CEST)","0","3015","2215"
"BZN|NL","01.01.2024 02:30 - 01.01.2024 02:45 (CET/CEST)","0","3044","2161"
"BZN|NL","01.01.2024 02:45 - 01.01.2024 03:00 (CET/CEST)","0","3050","2052"
"BZN|NL","01.01.2024 03:00 - 01.01.2024 03:15 (CET/CEST)","0","3041","2019"
"BZN|NL","01.01.2024 03:15 - 01.01.2024 03:30 (CET/CEST)","0","3032","2003"
"BZN|NL","01.01.2024 03:30 - 01.01.2024 03:45 (CET/CEST)","0","3042","2095"
"BZN|NL","01.01.2024 03:45 - 01.01.2024 04:00 (CET/CEST)","0","3003","2117"
"BZN|NL","01.01.2024 04:00 - 01.01.2024 04:15 (CET/CEST)","0","3015","2087"
"BZN|NL","01.01.2024 04:15 - 01.01.2024 04:30 (CET/CEST)","0","3039","2089"
"BZN|NL","01.01.2024 04:30 - 01.01.2024 04:45 (CET/CEST)","0","3034","2055"
"BZN|NL","01.01.2024 04:45 - 01.01.2024 05:00 (CET/CEST)","0","3042","2024"
"BZN|NL","01.01.2024 05:00 - 01.01.2024 05:15 (CET/CEST)","0","3045","2057"
"BZN|NL","01.01.2024 05:15 - 01.01.2024 05:30 (CET/CEST)","0","3050","1996"
"BZN|NL","01.01.2024 05:30 - 01.01.2024 05:45 (CET/CEST)","0","3039","2044"
"BZN|NL","01.01.2024 05:45 - 01.01.2024 06:00 (CET/CEST)","0","3027","2066"
"BZN|NL","01.01.2024 06:00 - 01.01.2024 06:15 (CET/CEST)","0","2969","2065"
"BZN|NL","01.01.2024 06:15 - 01.01.2024 06:30 (CET/CEST)","0","2810","2097"
"BZN|NL","01.01.2024 06:30 - 01.01.2024 06:45 (CET/CEST)","0","2640","2149"
"BZN|NL","01.01.2024 06:45 - 01.01.2024 07:00 (CET/CEST)","0","2590","2202"
"BZN|NL","01.01.2024 07:00 - 01.01.2024 07:15 (CET/CEST)","0","2617","2139"
"BZN|NL","01.01.2024 07:15 - 01.01.2024 07:30 (CET/CEST)","0","2632","2107"
"BZN|NL","01.01.2024 07:30 - 01.01.2024 07:45 (CET/CEST)","0","2722","2086"
"BZN|NL","01.01.2024 07:45 - 01.01.2024 08:00 (CET/CEST)","0","2717","2141"
"BZN|NL","01.01.2024 08:00 - 01.01.2024 08:15 (CET/CEST)","0","2736","2146"
"BZN|NL","01.01.2024 08:15 - 01.01.2024 08:30 (CET/CEST)","0","2777","2116"
"BZN|NL","01.01.2024 08:30 - 01.01.2024 08:45 (CET/CEST)","0","2850","2117"
"BZN|NL","01.01.2024 08:45 - 01.01.2024 09:00 (CET/CEST)","0","3001","2080"
"BZN|NL","01.01.2024 09:00 - 01.01.2024 09:15 (CET/CEST)","2","2992","2126"
"BZN|NL","01.01.2024 09:15 - 01.01.2024 09:30 (CET/CEST)","5","2899","2165"
"BZN|NL","01.01.2024 09:30 - 01.01.2024 09:45 (CET/CEST)","7","2896","2174"
"BZN|NL","01.01.2024 09:45 - 01.01.2024 10:00 (CET/CEST)","10","3011","2198"
"BZN|NL","01.01.2024 10:00 - 01.01.2024 10:15 (CET/CEST)","13","3047","2217"
"BZN|NL","01.01.2024 10:15 - 01.01.2024 10:30 (CET/CEST)","33","3044","2201"
"BZN|NL","01.01.2024 10:30 - 01.01.2024 10:45 (CET/CEST)","40","3046","2183"
"BZN|NL","01.01.2024 10:45 - 01.01.2024 11:00 (CET/CEST)","31","3049","2176"
"BZN|NL","01.01.2024 11:00 - 01.01.2024 11:15 (CET/CEST)","28","3061","2178"
"BZN|NL","01.01.2024 11:15 - 01.01.2024 11:30 (CET/CEST)","37","3065","2174"
"BZN|NL","01.01.2024 11:30 - 01.01.2024 11:45 (CET/CEST)","46","3069","2147"
"BZN|NL","01.01.2024 11:45 - 01.01.2024 12:00 (CET/CEST)","46","3071","2172"
"BZN|NL","01.01.2024 12:00 - 01.01.2024 12:15 (CET/CEST)","54","3070","2144"
"BZN|NL","01.01.2024 12:15 - 01.01.2024 12:30 (CET/CEST)","41","3041","2213"
"BZN|NL","01.01.2024 12:30 - 01.01.2024 12:45 (CET/CEST)","49","2993","2233"
"BZN|NL","01.01.2024 12:45 - 01.01.2024 13:00 (CET/CEST)","55","2961","2237"
"BZN|NL","01.01.2024 13:00 - 01.01.2024 13:15 (CET/CEST)","61","2983","2275"
"BZN|NL","01.01.2024 13:15 - 01.01.2024 13:30 (CET/CEST)","74","3017","2265"
"BZN|NL","01.01.2024 13:30 - 01.01.2024 13:45 (CET/CEST)","55","3026","2218"
"BZN|NL","01.01.2024 13:45 - 01.01.2024 14:00 (CET/CEST)","40","3033","2229"
"BZN|NL","01.01.2024 14:00 - 01.01.2024 14:15 (CET/CEST)","47","3047","2226"
"BZN|NL","01.01.2024 14:15 - 01.01.2024 14:30 (CET/CEST)","58","3024","2265"
"BZN|NL","01.01.2024 14:30 - 01.01.2024 14:45 (CET/CEST)","55","3008","2261"
"BZN|NL","01.01.2024 14:45 - 01.01.2024 15:00 (CET/CEST)","43","2983","2243"
"BZN|NL","01.01.2024 15:00 - 01.01.2024 15:15 (CET/CEST)","32","2935","2232"
"BZN|NL","01.01.2024 15:15 - 01.01.2024 15:30 (CET/CEST)","22","2889","2205"
"BZN|NL","01.01.2024 15:30 - 01.01.2024 15:45 (CET/CEST)","12","2852","2128"
"BZN|NL","01.01.2024 15:45 - 01.01.2024 16:00 (CET/CEST)","8","2727","2078"
"BZN|NL","01.01.2024 16:00 - 01.01.2024 16:15 (CET/CEST)","4","2621","2000"
"BZN|NL","01.01.2024 16:15 - 01.01.2024 16:30 (CET/CEST)","1","2549","1978"
"BZN|NL","01.01.2024 16:30 - 01.01.2024 16:45 (CET/CEST)","0","2465","1918"
"BZN|NL","01.01.2024 16:45 - 01.01.2024 17:00 (CET/CEST)","0","2369","1855"
"BZN|NL","01.01.2024 17:00 - 01.01.2024 17:15 (CET/CEST)","0","2341","1816"
"BZN|NL","01.01.2024 17:15 - 01.01.2024 17:30 (CET/CEST)","0","2390","1744"
"BZN|NL","01.01.2024 17:30 - 01.01.2024 17:45 (CET/CEST)","0","2446","1676"
"BZN|NL","01.01.2024 17:45 - 01.01.2024 18:00 (CET/CEST)","0","2498","1658"
"BZN|NL","01.01.2024 18:00 - 01.01.2024 18:15 (CET/CEST)","0","2673","1508"
"BZN|NL","01.01.2024 18:15 - 01.01.2024 18:30 (CET/CEST)","0","2900","1562"
"BZN|NL","01.01.2024 18:30 - 01.01.2024 18:45 (CET/CEST)","0","2950","1551"
"BZN|NL","01.01.2024 18:45 - 01.01.2024 19:00 (CET/CEST)","0","2915","1524"
"BZN|NL","01.01.2024 19:00 - 01.01.2024 19:15 (CET/CEST)","0","2865","1477"
"BZN|NL","01.01.2024 19:15 - 01.01.2024 19:30 (CET/CEST)","0","2790","1365"
"BZN|NL","01.01.2024 19:30 - 01.01.2024 19:45 (CET/CEST)","0","2691","1470"
"BZN|NL","01.01.2024 19:45 - 01.01.2024 20:00 (CET/CEST)","0","2551","1461"
"BZN|NL","01.01.2024 20:00 - 01.01.2024 20:15 (CET/CEST)","0","2254","1451"
"BZN|NL","01.01.2024 20:15 - 01.01.2024 20:30 (CET/CEST)","0","2040","1451"
"BZN|NL","01.01.2024 20:30 - 01.01.2024 20:45 (CET/CEST)","0","2124","1496"
"BZN|NL","01.01.2024 20:45 - 01.01.2024 21:00 (CET/CEST)","0","2482","1417"
"BZN|NL","01.01.2024 21:00 - 01.01.2024 21:15 (CET/CEST)","0","2792","1354"
"BZN|NL","01.01.2024 21:15 - 01.01.2024 21:30 (CET/CEST)","0","2905","1378"
"BZN|NL","01.01.2024 21:30 - 01.01.2024 21:45 (CET/CEST)","0","2950","1350"
"BZN|NL","01.01.2024 21:45 - 01.01.2024 22:00 (CET/CEST)","0","2904","1330"
"BZN|NL","01.01.2024 22:00 - 01.01.2024 22:15 (CET/CEST)","0","2884","1336"
"BZN|NL","01.01.2024 22:15 - 01.01.2024 22:30 (CET/CEST)","0","2941","1378"
"BZN|NL","01.01.2024 22:30 - 01.01.2024 22:45 (CET/CEST)","0","2959","1449"
"BZN|NL","01.01.2024 22:45 - 01.01.2024 23:00 (CET/CEST)","0","2936","1402"
"BZN|NL","01.01.2024 23:00 - 01.01.2024 23:15 (CET/CEST)","0","2879","1547"
"BZN|NL","01.01.2024 23:15 - 01.01.2024 23:30 (CET/CEST)","0","2879","1576"
"BZN|NL","01.01.2024 23:30 - 01.01.2024 23:45 (CET/CEST)","0","2920","1540"
"BZN|NL","01.01.2024 23:45 - 02.01.2024 00:00 (CET/CEST)","0","2889","1510"
