Timestamp (UTC),Wind_Offshore_MW,Wind_Onshore_MW
2018-12-31 23:00:00+00:00,794.0,670.0
2019-01-01 00:00:00+00:00,794.5,693.0
2019-01-01 01:00:00+00:00,803.0,734.75
2019-01-01 02:00:00+00:00,822.5,778.0
2019-01-01 03:00:00+00:00,821.0,804.5
2019-01-01 04:00:00+00:00,819.75,854.25
2019-01-01 05:00:00+00:00,818.75,854.5
2019-01-01 06:00:00+00:00,821.25,842.75
2019-01-01 07:00:00+00:00,801.25,802.75
2019-01-01 08:00:00+00:00,778.0,619.0
2019-01-01 09:00:00+00:00,716.75,702.75
2019-01-01 10:00:00+00:00,732.0,749.0
2019-01-01 11:00:00+00:00,765.25,722.75
2019-01-01 12:00:00+00:00,816.0,728.0
2019-01-01 13:00:00+00:00,810.0,793.75
2019-01-01 14:00:00+00:00,810.5,822.5
2019-01-01 15:00:00+00:00,810.75,858.75
2019-01-01 16:00:00+00:00,807.75,877.5
2019-01-01 17:00:00+00:00,812.5,880.5
2019-01-01 18:00:00+00:00,781.0,880.25
2019-01-01 19:00:00+00:00,772.5,882.5
2019-01-01 20:00:00+00:00,781.5,894.75
2019-01-01 21:00:00+00:00,788.25,879.25
2019-01-01 22:00:00+00:00,794.0,859.5
2019-01-01 23:00:00+00:00,783.75,829.5
2019-01-02 00:00:00+00:00,811.25,851.75
2019-01-02 01:00:00+00:00,820.25,848.5
2019-01-02 02:00:00+00:00,821.25,865.0
2019-01-02 03:00:00+00:00,821.25,822.75
2019-01-02 04:00:00+00:00,823.5,803.25
2019-01-02 05:00:00+00:00,819.5,727.5
2019-01-02 06:00:00+00:00,814.5,793.0
2019-01-02 07:00:00+00:00,821.75,633.25
2019-01-02 08:00:00+00:00,820.0,516.25
2019-01-02 09:00:00+00:00,802.25,484.75
2019-01-02 10:00:00+00:00,794.25,441.0
2019-01-02 11:00:00+00:00,758.25,444.0
2019-01-02 12:00:00+00:00,720.75,355.0
2019-01-02 13:00:00+00:00,692.5,254.0
2019-01-02 14:00:00+00:00,565.5,301.25
2019-01-02 15:00:00+00:00,514.25,273.5
2019-01-02 16:00:00+00:00,381.75,231.5
2019-01-02 17:00:00+00:00,352.25,259.25
2019-01-02 18:00:00+00:00,298.5,276.25
2019-01-02 19:00:00+00:00,325.25,277.0
2019-01-02 20:00:00+00:00,314.25,218.0
2019-01-02 21:00:00+00:00,347.75,211.0
2019-01-02 22:00:00+00:00,445.25,251.25
2019-01-02 23:00:00+00:00,350.5,244.25
2019-01-03 00:00:00+00:00,506.75,233.25
2019-01-03 01:00:00+00:00,511.25,268.75
2019-01-03 02:00:00+00:00,429.75,218.0
2019-01-03 03:00:00+00:00,408.5,209.25
2019-01-03 04:00:00+00:00,344.0,196.5
2019-01-03 05:00:00+00:00,378.25,184.75
2019-01-03 06:00:00+00:00,424.0,189.0
2019-01-03 07:00:00+00:00,423.0,189.5
2019-01-03 08:00:00+00:00,461.25,197.0
2019-01-03 09:00:00+00:00,444.0,193.0
2019-01-03 10:00:00+00:00,450.5,160.0
2019-01-03 11:00:00+00:00,355.5,168.5
2019-01-03 12:00:00+00:00,353.5,178.25
2019-01-03 13:00:00+00:00,280.75,157.25
2019-01-03 14:00:00+00:00,249.0,185.75
2019-01-03 15:00:00+00:00,254.5,237.5
2019-01-03 16:00:00+00:00,189.5,205.5
2019-01-03 17:00:00+00:00,210.0,180.75
2019-01-03 18:00:00+00:00,220.25,210.0
2019-01-03 19:00:00+00:00,283.0,204.25
2019-01-03 20:00:00+00:00,278.5,189.75
2019-01-03 21:00:00+00:00,206.25,160.5
2019-01-03 22:00:00+00:00,186.5,133.0
2019-01-03 23:00:00+00:00,198.25,142.5
2019-01-04 00:00:00+00:00,209.5,123.5
2019-01-04 01:00:00+00:00,369.0,135.5
2019-01-04 02:00:00+00:00,525.0,221.5
2019-01-04 03:00:00+00:00,586.5,297.0
2019-01-04 04:00:00+00:00,615.0,436.5
2019-01-04 05:00:00+00:00,663.0,404.25
2019-01-04 06:00:00+00:00,553.25,400.25
2019-01-04 07:00:00+00:00,607.25,400.5
2019-01-04 08:00:00+00:00,682.5,385.75
2019-01-04 09:00:00+00:00,695.5,500.75
2019-01-04 10:00:00+00:00,695.25,521.25
2019-01-04 11:00:00+00:00,712.5,528.75
2019-01-04 12:00:00+00:00,645.75,571.75
2019-01-04 13:00:00+00:00,675.25,495.75
2019-01-04 14:00:00+00:00,727.0,481.5
2019-01-04 15:00:00+00:00,758.25,482.25
2019-01-04 16:00:00+00:00,778.75,540.5
2019-01-04 17:00:00+00:00,775.0,594.75
2019-01-04 18:00:00+00:00,761.75,568.25
2019-01-04 19:00:00+00:00,767.75,496.25
2019-01-04 20:00:00+00:00,764.5,530.5
2019-01-04 21:00:00+00:00,726.5,585.0
2019-01-04 22:00:00+00:00,719.25,590.25
2019-01-04 23:00:00+00:00,740.0,645.75
2019-01-05 00:00:00+00:00,798.5,723.0
2019-01-05 01:00:00+00:00,815.0,737.0
2019-01-05 02:00:00+00:00,824.5,790.75
2019-01-05 03:00:00+00:00,831.0,828.5
2019-01-05 04:00:00+00:00,828.75,848.75
2019-01-05 05:00:00+00:00,829.5,874.75
2019-01-05 06:00:00+00:00,810.0,863.5
2019-01-05 07:00:00+00:00,806.5,823.75
2019-01-05 08:00:00+00:00,814.0,803.0
2019-01-05 09:00:00+00:00,816.5,797.0
2019-01-05 10:00:00+00:00,805.5,792.75
2019-01-05 11:00:00+00:00,800.25,800.0
2019-01-05 12:00:00+00:00,776.5,802.75
2019-01-05 13:00:00+00:00,782.25,780.75
2019-01-05 14:00:00+00:00,775.75,760.75
2019-01-05 15:00:00+00:00,761.75,753.75
2019-01-05 16:00:00+00:00,723.5,726.25
2019-01-05 17:00:00+00:00,713.25,706.25
2019-01-05 18:00:00+00:00,702.5,661.5
2019-01-05 19:00:00+00:00,686.0,681.5
2019-01-05 20:00:00+00:00,660.75,692.5
2019-01-05 21:00:00+00:00,675.25,601.0
2019-01-05 22:00:00+00:00,655.0,639.75
2019-01-05 23:00:00+00:00,613.0,636.5
2019-01-06 00:00:00+00:00,563.75,580.75
2019-01-06 01:00:00+00:00,535.0,549.0
2019-01-06 02:00:00+00:00,409.5,494.0
2019-01-06 03:00:00+00:00,407.5,401.5
2019-01-06 04:00:00+00:00,425.0,380.75
2019-01-06 05:00:00+00:00,334.0,340.5
2019-01-06 06:00:00+00:00,244.25,392.0
2019-01-06 07:00:00+00:00,290.0,337.0
2019-01-06 08:00:00+00:00,374.25,232.5
2019-01-06 09:00:00+00:00,359.25,223.5
2019-01-06 10:00:00+00:00,244.75,202.25
2019-01-06 11:00:00+00:00,248.25,171.25
2019-01-06 12:00:00+00:00,203.25,182.0
2019-01-06 13:00:00+00:00,246.0,196.25
2019-01-06 14:00:00+00:00,229.0,192.5
2019-01-06 15:00:00+00:00,216.25,182.75
2019-01-06 16:00:00+00:00,260.25,189.5
2019-01-06 17:00:00+00:00,340.0,185.75
2019-01-06 18:00:00+00:00,266.75,154.5
2019-01-06 19:00:00+00:00,156.5,130.75
2019-01-06 20:00:00+00:00,143.25,115.25
2019-01-06 21:00:00+00:00,196.0,105.5
2019-01-06 22:00:00+00:00,269.25,122.5
2019-01-06 23:00:00+00:00,194.75,141.0
2019-01-07 00:00:00+00:00,130.25,158.75
2019-01-07 01:00:00+00:00,161.75,175.75
2019-01-07 02:00:00+00:00,175.0,212.5
2019-01-07 03:00:00+00:00,144.5,306.5
2019-01-07 04:00:00+00:00,144.0,348.0
2019-01-07 05:00:00+00:00,211.25,349.0
2019-01-07 06:00:00+00:00,121.5,320.25
2019-01-07 07:00:00+00:00,140.5,346.5
2019-01-07 08:00:00+00:00,264.0,345.5
2019-01-07 09:00:00+00:00,476.0,427.5
2019-01-07 10:00:00+00:00,682.75,520.0
2019-01-07 11:00:00+00:00,750.25,504.0
2019-01-07 12:00:00+00:00,806.0,645.5
2019-01-07 13:00:00+00:00,828.75,804.25
2019-01-07 14:00:00+00:00,832.5,868.75
2019-01-07 15:00:00+00:00,839.75,904.75
2019-01-07 16:00:00+00:00,841.75,948.75
2019-01-07 17:00:00+00:00,839.75,942.0
2019-01-07 18:00:00+00:00,838.0,938.0
2019-01-07 19:00:00+00:00,834.5,942.5
2019-01-07 20:00:00+00:00,836.5,960.0
2019-01-07 21:00:00+00:00,834.0,950.75
2019-01-07 22:00:00+00:00,833.0,940.5
2019-01-07 23:00:00+00:00,805.5,913.5
2019-01-08 00:00:00+00:00,800.5,947.75
