"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","01.01.2018 00:00 - 01.01.2018 00:15 (CET/CEST)","0","751","644"
"BZN|NL","01.01.2018 00:15 - 01.01.2018 00:30 (CET/CEST)","0","752","662"
"BZN|NL","01.01.2018 00:30 - 01.01.2018 00:45 (CET/CEST)","0","754","666"
"BZN|NL","01.01.2018 00:45 - 01.01.2018 01:00 (CET/CEST)","0","760","669"
"BZN|NL","01.01.2018 01:00 - 01.01.2018 01:15 (CET/CEST)","0","760","670"
"BZN|NL","01.01.2018 01:15 - 01.01.2018 01:30 (CET/CEST)","0","759","671"
"BZN|NL","01.01.2018 01:30 - 01.01.2018 01:45 (CET/CEST)","0","758","676"
"BZN|NL","01.01.2018 01:45 - 01.01.2018 02:00 (CET/CEST)","0","759","663"
"BZN|NL","01.01.2018 02:00 - 01.01.2018 02:15 (CET/CEST)","0","760","672"
"BZN|NL","01.01.2018 02:15 - 01.01.2018 02:30 (CET/CEST)","0","759","678"
"BZN|NL","01.01.2018 02:30 - 01.01.2018 02:45 (CET/CEST)","0","757","677"
"BZN|NL","01.01.2018 02:45 - 01.01.2018 03:00 (CET/CEST)","0","758","679"
"BZN|NL","01.01.2018 03:00 - 01.01.2018 03:15 (CET/CEST)","0","751","676"
"BZN|NL","01.01.2018 03:15 - 01.01.2018 03:30 (CET/CEST)","0","752","682"
"BZN|NL","01.01.2018 03:30 - 01.01.2018 03:45 (CET/CEST)","0","756","677"
"BZN|NL","01.01.2018 03:45 - 01.01.2018 04:00 (CET/CEST)","0","752","685"
"BZN|NL","01.01.2018 04:00 - 01.01.2018 04:15 (CET/CEST)","0","750","686"
"BZN|NL","01.01.2018 04:15 - 01.01.2018 04:30 (CET/CEST)","0","753","680"
"BZN|NL","01.01.2018 04:30 - 01.01.2018 04:45 (CET/CEST)","0","754","684"
"BZN|NL","01.01.2018 04:45 - 01.01.2018 05:00 (CET/CEST)","0","754","676"
"BZN|NL","01.01.2018 05:00 - 01.01.2018 05:15 (CET/CEST)","0","756","677"
"BZN|NL","01.01.2018 05:15 - 01.01.2018 05:30 (CET/CEST)","0","756","677"
"BZN|NL","01.01.2018 05:30 - 01.01.2018 05:45 (CET/CEST)","0","756","684"
