"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2018-12-31 23:00:00","2019-01-01 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1200200,1200200,0.39828324317932,0,0
"2019-01-01 00:00:00","2019-01-01 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1197005,1197005,0.39666125178337,0,0
"2019-01-01 01:00:00","2019-01-01 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1382950,1382950,0.45827949047089,0,0
"2019-01-01 02:00:00","2019-01-01 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1580227,1580227,0.5236524939537,0,0
"2019-01-01 03:00:00","2019-01-01 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1770793,1770793,0.5868022441864,0,0
"2019-01-01 04:00:00","2019-01-01 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2073761,2073761,0.68719899654388,0,0
"2019-01-01 05:00:00","2019-01-01 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2110472,2110472,0.69936448335648,0,0
"2019-01-01 06:00:00","2019-01-01 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2073863,2073863,0.68723273277283,0,0
"2019-01-01 07:00:00","2019-01-01 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1910919,1910919,0.63323700428009,0,0
"2019-01-01 08:00:00","2019-01-01 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1667534,1667534,0.55258423089981,0,0
"2019-01-01 09:00:00","2019-01-01 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1449472,1449472,0.4803232550621,0,0
"2019-01-01 10:00:00","2019-01-01 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1452944,1452944,0.48147374391556,0,0
"2019-01-01 11:00:00","2019-01-01 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1691291,1691291,0.56045699119568,0,0
"2019-01-01 12:00:00","2019-01-01 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1919409,1919409,0.63605052232742,0,0
"2019-01-01 13:00:00","2019-01-01 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2000933,2000933,0.66306573152542,0,0
"2019-01-01 14:00:00","2019-01-01 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2229561,2229561,0.73882800340652,0,0
"2019-01-01 15:00:00","2019-01-01 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2227595,2227595,0.73817652463913,0,0
"2019-01-01 16:00:00","2019-01-01 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2238283,2238283,0.74171847105026,0,0
"2019-01-01 17:00:00","2019-01-01 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2243867,2243867,0.7435684800148,0,0
"2019-01-01 18:00:00","2019-01-01 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2248155,2248155,0.74498975276947,0,0
"2019-01-01 19:00:00","2019-01-01 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2382108,2382108,0.78937876224518,0,0
"2019-01-01 20:00:00","2019-01-01 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2478263,2478263,0.82124251127243,0,0
"2019-01-01 21:00:00","2019-01-01 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2388599,2388599,0.79152977466583,0,0
"2019-01-01 22:00:00","2019-01-01 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2361433,2361433,0.78252726793289,0,0
"2019-01-01 23:00:00","2019-01-02 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2244430,2244430,0.7437549829483,0,0
"2019-01-02 00:00:00","2019-01-02 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2173938,2173938,0.72039574384689,0,0
"2019-01-02 01:00:00","2019-01-02 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2231670,2231670,0.73952674865723,0,0
"2019-01-02 02:00:00","2019-01-02 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2174778,2174778,0.7206739783287,0,0
"2019-01-02 03:00:00","2019-01-02 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2089064,2089064,0.69227027893066,0,0
"2019-01-02 04:00:00","2019-01-02 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2058502,2058502,0.68214273452759,0,0
"2019-01-02 05:00:00","2019-01-02 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2019697,2019697,0.66928350925446,0,0
"2019-01-02 06:00:00","2019-01-02 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1791363,1791363,0.59361851215363,0,0
"2019-01-02 07:00:00","2019-01-02 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1681118,1681118,0.55708599090576,0,0
"2019-01-02 08:00:00","2019-01-02 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1464512,1464512,0.48530724644661,0,0
"2019-01-02 09:00:00","2019-01-02 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1262610,1262610,0.41840150952339,0,0
"2019-01-02 10:00:00","2019-01-02 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1008060,1008060,0.33404898643494,0,0
"2019-01-02 11:00:00","2019-01-02 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1106592,1106592,0.36670050024986,0,0
"2019-01-02 12:00:00","2019-01-02 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1049297,1049297,0.34771424531937,0,0
"2019-01-02 13:00:00","2019-01-02 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,872518,872518,0.28913348913193,0,0
"2019-01-02 14:00:00","2019-01-02 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,651083,651083,0.21575474739075,0,0
"2019-01-02 15:00:00","2019-01-02 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,413397,413397,0.13699075579643,0,0
"2019-01-02 16:00:00","2019-01-02 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,308152,308152,0.10211482644081,0,0
"2019-01-02 17:00:00","2019-01-02 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,210949,210949,0.069903902709484,0,0
