date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2017-01-01T00:00:00,40.482,226.08084,25.741888,222.16582,45.0,1020.4747,4.7805004,100.0,0.0,0.0,95.55621,0.0
2017-01-01T01:00:00,39.496777,227.58585,24.951921,223.83095,43.199997,1019.97473,4.9305,100.0,0.0,0.0,96.23277,0.0
2017-01-01T02:00:00,38.479603,227.65425,24.693481,224.40942,43.56,1019.2749,4.7805004,100.0,0.0,0.0,95.89172,0.0
2017-01-01T03:00:00,38.723015,227.26053,24.195107,223.19128,42.839996,1018.57495,4.7305,100.0,0.0,0.0,95.890114,0.0
2017-01-01T04:00:00,38.988182,227.6196,25.20257,224.42136,43.56,1018.075,5.1305003,100.0,1.0,0.0,94.240326,0.0
2017-01-01T05:00:00,38.214302,227.29063,25.212852,223.26433,43.92,1017.37506,5.0805,100.0,0.0,0.0,94.238075,0.0
2017-01-01T06:00:00,38.439167,225.3794,25.233404,222.10866,44.639996,1016.7752,4.8805003,100.0,0.0,17.0,94.22903,0.0
2017-01-01T07:00:00,38.197342,223.47253,25.305208,219.80553,44.28,1016.17487,4.6305003,100.0,0.0,90.0,93.88696,0.0
2017-01-01T08:00:00,39.202,224.9999,24.798225,219.69904,44.28,1015.8749,4.2305,100.0,11.0,90.0,92.551125,0.0
2017-01-01T09:00:00,35.9153,222.96909,21.533897,218.21107,43.56,1015.87463,3.5305,100.0,20.0,95.0,92.182,0.0
2017-01-01T10:00:00,35.16225,222.5104,22.493519,219.80553,40.68,1015.77435,2.6305,100.0,91.0,99.0,91.79731,0.0
2017-01-01T11:00:00,33.1552,221.47845,21.817902,217.6263,39.96,1015.374,2.4805,100.0,99.0,100.0,91.45887,0.0
2017-01-01T12:00:00,31.826931,217.64769,21.175837,215.3113,41.039997,1014.7745,2.5805,100.0,100.0,99.0,91.46554,0.0
