date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2017-01-01T00:00:00,37.52471,220.72044,22.682856,215.9606,38.16,1020.5352,2.6805,100.0,0.0,0.0,98.24023,0.0
2017-01-01T01:00:00,36.71294,221.82008,21.599998,216.86998,36.719997,1020.0368,2.8805,100.0,0.0,0.0,98.243065,0.0
2017-01-01T02:00:00,36.161636,223.3865,21.533897,218.21107,36.719997,1019.33746,2.7805,100.0,0.0,0.0,98.241646,0.0
2017-01-01T03:00:00,35.893642,225.4063,21.479664,219.55963,36.36,1018.63837,2.8305,100.0,0.0,0.0,97.89413,0.0
2017-01-01T04:00:00,35.64182,224.18163,21.533897,218.21107,36.0,1018.1392,2.8805,100.0,0.0,0.0,97.54797,0.0
2017-01-01T05:00:00,35.652725,223.36346,21.313093,217.45065,36.36,1017.53894,2.6805,100.0,0.0,0.0,97.54403,0.0
2017-01-01T06:00:00,35.494247,220.47514,21.26744,213.95909,36.719997,1016.93854,2.3805,100.0,0.0,0.0,97.886475,0.0
2017-01-01T07:00:00,36.04497,219.73225,21.26744,213.95909,36.36,1016.3373,1.9805,100.0,0.0,0.0,97.87963,0.0
2017-01-01T08:00:00,35.221176,220.85529,21.096123,216.67444,36.36,1015.9368,1.7804999,100.0,0.0,60.0,96.82937,0.0
2017-01-01T09:00:00,33.740276,219.80553,21.096123,216.67444,37.44,1015.8357,1.4805,100.0,1.0,91.0,96.12769,0.0
2017-01-01T10:00:00,34.802895,219.1226,22.180206,215.75398,37.079998,1015.6357,1.4305,100.0,58.0,100.0,95.43628,0.0
2017-01-01T11:00:00,32.112724,217.25537,20.969807,214.50858,38.519997,1015.13727,1.5805,100.0,94.0,96.0,93.73821,0.0
2017-01-01T12:00:00,29.96662,218.65982,20.08916,216.25392,37.44,1014.5386,1.7804999,100.0,40.0,95.0,94.42523,0.0
2017-01-01T13:00:00,29.46287,215.04945,19.272614,212.79953,34.92,1014.1381,1.5304999,100.0,57.0,93.0,94.41413,0.0
2017-01-01T14:00:00,33.56312,215.39488,21.767351,214.21576,37.079998,1013.93713,1.2804999,100.0,88.0,98.0,93.38506,0.0
2017-01-01T15:00:00,35.261627,220.0302,22.322903,217.794,38.88,1013.7355,0.8305,100.0,89.0,97.0,92.685875,0.0
2017-01-01T16:00:00,33.39473,221.94122,19.8,216.86998,38.16,1013.93463,0.7305,100.0,100.0,96.0,92.34369,0.0
2017-01-01T17:00:00,33.46451,229.7999,21.166653,228.44748,36.0,1014.3347,0.88049996,100.0,100.0,97.0,92.35275,0.0
2017-01-01T18:00:00,30.027107,232.3057,18.391737,229.76372,36.0,1014.036,1.0805,100.0,100.0,99.0,91.69703,0.2
2017-01-01T19:00:00,25.277023,252.5972,14.345898,252.47433,30.960001,1014.835,1.0304999,100.0,100.0,96.0,95.76708,0.5
2017-01-01T20:00:00,24.569832,259.01938,14.145756,255.2564,24.48,1015.0338,0.88049996,100.0,100.0,100.0,98.9252,0.19999999
2017-01-01T21:00:00,18.391735,273.3664,10.587917,252.18102,23.4,1015.23615,1.3805,100.0,100.0,98.0,97.51815,0.5
2017-01-01T22:00:00,13.202726,295.8663,6.638072,257.4712,17.28,1015.3385,1.9305,56.0,99.0,98.0,96.48688,0.2
2017-01-01T23:00:00,14.707222,291.54105,7.771331,256.60748,12.24,1015.53827,1.9805,32.0,100.0,89.0,96.14319,0.0
2017-01-02T00:00:00,20.478907,280.1246,9.885262,259.50858,15.84,1016.0363,1.6805,42.0,95.0,99.0,96.47981,0.0
2017-01-02T01:00:00,23.18579,295.76926,10.823973,273.814,18.359999,1016.1362,1.6805,25.0,100.0,83.0,95.44539,0.0
2017-01-02T02:00:00,24.826954,299.5387,10.594036,279.78235,18.0,1016.4356,1.6305,7.0,77.0,64.0,90.415504,0.2
2017-01-02T03:00:00,29.30409,307.01074,13.1041975,290.92456,21.96,1016.53644,1.8305,2.0,0.0,0.0,90.75768,0.0
2017-01-02T04:00:00,29.793125,313.53125,13.0447235,297.97937,21.96,1016.6334,1.1805,2.0,0.0,0.0,87.469475,0.0
2017-01-02T05:00:00,33.1552,311.47845,15.315873,299.57773,24.84,1016.63403,1.3305,2.0,2.0,0.0,86.53281,0.0
2017-01-02T06:00:00,32.219498,309.55963,14.973577,297.18103,25.919998,1016.43463,1.4305,5.0,0.0,0.0,84.05322,0.0
2017-01-02T07:00:00,35.031162,320.42062,17.339897,311.63345,28.8,1017.2356,1.8305,21.0,3.0,74.0,80.20082,0.0
2017-01-02T08:00:00,37.34295,340.86627,20.140705,335.72556,33.48,1017.73773,2.4805,40.0,34.0,76.0,82.06723,0.0
2017-01-02T09:00:00,29.834423,351.67444,16.516901,343.53992,34.92,1018.73846,2.8805,11.0,6.0,33.0,87.94714,0.0
2017-01-02T10:00:00,23.683512,340.46326,13.70839,330.06857,27.359999,1019.0406,3.4305,8.0,28.0,41.0,85.204254,0.0
2017-01-02T11:00:00,20.898613,317.7928,12.682018,304.59235,22.68,1019.3441,4.2805004,6.0,83.0,9.0,81.13274,0.0
2017-01-02T12:00:00,27.497026,313.93918,15.856354,309.47244,24.84,1019.9411,3.7805,6.0,95.0,51.0,82.83202,0.0
2017-01-02T13:00:00,27.492311,315.0001,16.641972,308.8534,29.519999,1020.04193,3.9805,27.0,96.0,5.0,78.78834,0.0
2017-01-02T14:00:00,22.961115,311.18582,11.923557,298.88647,29.519999,1020.0372,2.9305,24.0,65.0,0.0,83.62559,0.1
2017-01-02T15:00:00,25.189713,300.96368,11.726277,287.87878,19.8,1020.3327,2.0305,23.0,64.0,0.0,86.29109,0.0
2017-01-02T16:00:00,27.748037,292.9058,12.849528,281.3099,20.880001,1020.5276,0.9805,19.0,25.0,0.0,88.09102,0.0
2017-01-02T17:00:00,28.357857,290.04532,12.7279215,278.13,22.319998,1020.92554,0.63049996,30.0,19.0,0.0,88.70541,0.0
2017-01-02T18:00:00,29.601109,283.36023,13.679999,270.0,22.68,1020.82404,0.3305,24.0,1.0,0.0,88.67909,0.0
2017-01-02T19:00:00,30.652895,282.89374,14.404499,271.43207,23.759998,1021.1265,0.9305,5.0,58.0,0.0,88.4085,0.0
2017-01-02T20:00:00,30.472675,284.36462,14.044615,271.46878,24.48,1020.9249,0.5305,11.0,13.0,0.0,87.72759,0.0
2017-01-02T21:00:00,33.75756,277.3523,15.876775,266.09958,25.919998,1020.825,0.5305,14.0,13.0,0.0,86.45014,0.0
2017-01-02T22:00:00,34.518726,277.792,16.575644,267.5105,28.08,1021.0266,0.9305,0.0,3.0,0.0,86.175674,0.0
2017-01-02T23:00:00,32.431984,272.54474,15.328561,260.53775,27.72,1020.82623,0.7805,30.0,0.0,0.0,88.07262,0.0
2017-01-03T00:00:00,34.518726,262.208,17.309973,253.0724,26.64,1021.02795,1.2305,28.0,79.0,0.0,88.43534,0.0
2017-01-03T01:00:00,35.143818,263.53027,18.161278,256.2392,30.239998,1020.63043,1.5805,36.0,53.0,0.0,88.78814,0.0
2017-01-03T02:00:00,34.936695,268.22858,18.175545,262.0305,30.960001,1020.6314,1.8305,30.0,43.0,3.0,89.45491,0.0
2017-01-03T03:00:00,32.04202,270.64374,16.039202,260.9606,30.239998,1020.63104,1.7804999,31.0,73.0,83.0,89.77508,0.0
2017-01-03T04:00:00,32.09052,266.78458,16.24394,257.19574,27.0,1020.4332,2.1805,33.0,77.0,64.0,89.80675,0.0
2017-01-03T05:00:00,32.527744,264.92047,16.766108,255.06853,27.72,1020.0337,2.1805,26.0,98.0,82.0,92.09899,0.0
2017-01-03T06:00:00,33.39473,258.81125,17.76081,252.29948,29.16,1019.5365,2.6805,12.0,81.0,1.0,91.80052,0.0
2017-01-03T07:00:00,33.672993,263.86282,17.811815,255.96373,30.960001,1019.53784,2.9305,73.0,88.0,0.0,91.4888,0.0
2017-01-03T08:00:00,36.58918,256.92087,20.948164,250.9422,34.92,1019.2423,3.8805,94.0,67.0,0.0,90.90374,0.1
2017-01-03T09:00:00,39.4163,260.53775,23.313995,256.60748,39.96,1018.94684,4.7305,100.0,39.0,22.0,90.64297,0.0
2017-01-03T10:00:00,40.016712,261.72418,25.346148,258.5305,42.839996,1018.94916,5.2305,63.0,95.0,83.0,90.36072,0.0
2017-01-03T11:00:00,42.77794,263.23392,27.698952,261.02747,47.16,1018.0512,5.4805,59.0,96.0,0.0,86.950005,0.0
2017-01-03T12:00:00,44.202366,257.7749,27.595825,254.87593,50.76,1017.2489,4.7305,100.0,98.0,65.0,90.00528,0.0
2017-01-03T13:00:00,44.693676,259.3237,27.766712,256.50424,48.96,1016.349,4.5305004,100.0,93.0,100.0,90.30872,0.2
