date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2017-01-01T00:00:00,39.172237,216.02747,19.969458,207.95087,36.0,1023.20825,2.037,100.0,5.0,0.0,97.53127,0.0
2017-01-01T01:00:00,34.524357,219.49956,19.969458,213.9766,34.92,1022.7067,2.687,100.0,0.0,0.0,96.85237,0.0
2017-01-01T02:00:00,34.897724,222.90984,20.523157,217.87505,36.36,1021.9057,2.787,100.0,0.0,0.0,96.16799,0.0
2017-01-01T03:00:00,35.406506,222.93988,20.746122,218.65982,37.079998,1021.20593,2.737,100.0,0.0,0.0,95.8245,0.0
2017-01-01T04:00:00,35.72898,220.91429,20.380579,215.65541,37.44,1020.7057,2.537,100.0,0.0,0.0,95.13608,0.0
2017-01-01T05:00:00,37.56613,219.94612,19.469976,213.6901,36.719997,1020.00665,2.037,100.0,0.0,0.0,95.45834,0.0
2017-01-01T06:00:00,34.9923,216.6342,17.709658,206.56499,34.2,1019.40704,1.487,100.0,0.0,0.0,95.78257,0.0
2017-01-01T07:00:00,33.657593,212.33017,18.03237,206.05344,33.12,1018.808,1.037,100.0,0.0,25.0,95.421875,0.0
2017-01-01T08:00:00,31.452133,213.32631,17.555307,208.14151,32.760002,1018.5084,0.587,100.0,6.0,93.0,94.7153,0.0
2017-01-01T09:00:00,30.261421,212.36661,18.709612,210.01828,34.2,1018.4084,0.487,100.0,36.0,91.0,92.66595,0.0
2017-01-01T10:00:00,27.553524,208.90909,17.87718,205.01686,34.92,1018.1082,0.387,100.0,61.0,99.0,90.98463,0.0
2017-01-01T11:00:00,26.749235,208.97961,17.709658,206.56499,34.56,1017.60864,0.287,97.0,10.0,98.0,89.65555,0.0
2017-01-01T12:00:00,26.749235,208.97961,17.709658,206.56499,35.64,1016.90704,0.88699996,100.0,91.0,94.0,90.35974,0.0
2017-01-01T13:00:00,25.9225,207.27667,16.92383,203.83875,33.48,1016.6069,0.737,100.0,100.0,94.0,90.67837,0.2
2017-01-01T14:00:00,28.337282,207.21602,17.727943,203.9625,32.399998,1016.3073,0.487,100.0,100.0,99.0,92.32893,0.1
2017-01-01T15:00:00,30.319181,209.91356,18.03237,206.05344,36.36,1016.2073,0.587,100.0,97.0,97.0,92.335,0.1
2017-01-01T16:00:00,35.545326,213.85104,19.483284,207.51192,33.12,1016.3073,0.687,100.0,98.0,96.0,92.34106,0.0
