date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2017-01-01T00:00:00,55.54976,244.26532,42.1861,242.56035,54.719997,1018.2,8.65,89.0,0.0,0.0,89.376785,0.1
2017-01-01T01:00:00,54.900883,243.09898,43.183495,241.08467,57.96,1017.6,8.95,52.0,0.0,0.0,88.79153,0.0
2017-01-01T02:00:00,53.454845,242.74475,41.26046,240.75127,57.6,1016.8,8.8,100.0,10.0,0.0,90.00235,0.0
2017-01-01T03:00:00,50.555332,242.88763,39.966484,240.89536,55.079998,1016.0,8.6,100.0,0.0,11.0,89.98723,0.0
2017-01-01T04:00:00,52.05082,245.9168,42.039925,245.19061,54.0,1015.7,8.7,99.0,2.0,77.0,87.86194,0.0
2017-01-01T05:00:00,54.172523,246.50142,43.022636,245.79411,58.32,1015.0,8.7,63.0,3.0,99.0,87.86194,0.0
2017-01-01T06:00:00,49.90904,243.43501,40.57633,242.52565,56.519997,1014.3,8.6,47.0,79.0,97.0,88.155,0.0
2017-01-01T07:00:00,52.348755,241.67265,43.183495,241.08467,55.8,1013.7,8.55,88.0,89.0,99.0,88.757835,0.0
2017-01-01T08:00:00,54.425518,242.41806,44.44943,241.9822,58.32,1013.4,8.5,98.0,99.0,99.0,88.14614,0.2
2017-01-01T09:00:00,52.005985,244.14452,42.18149,243.6537,59.76,1013.2,8.45,94.0,100.0,100.0,86.63853,0.2
2017-01-01T10:00:00,54.355232,249.04414,44.589165,248.19853,61.56,1013.1,8.3,100.0,100.0,98.0,87.52371,0.4
2017-01-01T11:00:00,54.07794,250.96187,44.41297,250.09616,59.76,1012.6,8.45,99.0,100.0,95.0,85.45236,0.4
2017-01-01T12:00:00,29.301876,280.6196,25.277023,280.66974,61.199997,1012.4,8.1,100.0,100.0,100.0,87.80735,1.0
2017-01-01T13:00:00,48.63332,14.139137,43.30936,13.4587,54.719997,1012.4,7.15,100.0,100.0,96.0,85.01495,1.4
2017-01-01T14:00:00,33.041645,11.3098955,30.147717,11.712454,55.8,1012.9,7.15,100.0,100.0,98.0,78.98766,0.8
2017-01-01T15:00:00,31.810638,5.19435,28.58545,5.782306,39.239998,1013.4,7.15,93.0,98.0,99.0,78.15824,1.0
2017-01-01T16:00:00,28.988384,14.381432,26.019806,14.4208145,37.8,1014.3,7.1,33.0,100.0,100.0,76.78482,0.8
2017-01-01T17:00:00,25.683926,5.630594,23.535301,6.1465325,34.2,1015.2,7.05,57.0,100.0,99.0,74.107735,0.5
2017-01-01T18:00:00,29.215502,3.5322235,25.959969,3.179772,34.2,1015.0,7.1,34.0,100.0,97.0,71.530945,0.3
2017-01-01T19:00:00,33.636406,354.47253,30.05515,353.81146,38.519997,1015.8,7.8,46.0,100.0,100.0,63.718277,0.0
2017-01-01T20:00:00,35.516148,349.48743,31.559088,348.81827,41.039997,1016.1,7.7,15.0,100.0,100.0,63.01253,0.0
2017-01-01T21:00:00,35.457714,344.6938,31.450073,344.05453,41.760002,1016.3,7.8,36.0,99.0,94.0,60.808468,0.0
2017-01-01T22:00:00,39.9097,344.83548,34.417206,344.21918,44.639996,1016.6,7.7,15.0,88.0,95.0,66.25405,0.0
2017-01-01T23:00:00,46.597404,348.86374,40.456375,348.19012,52.199997,1016.8,7.55,20.0,10.0,39.0,66.93505,0.0
2017-01-02T00:00:00,47.599026,347.3302,41.041576,346.81702,55.079998,1017.3,7.75,11.0,0.0,0.0,63.0243,0.0
2017-01-02T01:00:00,49.896053,343.65704,43.274933,343.0724,56.519997,1017.5,7.35,17.0,0.0,0.0,64.07307,0.0
2017-01-02T02:00:00,48.621326,342.7724,41.899426,342.49905,57.239998,1017.9,7.15,26.0,0.0,0.0,65.42401,0.0
2017-01-02T03:00:00,50.27255,338.57947,43.45276,338.11038,56.519997,1017.9,7.15,8.0,1.0,0.0,62.43033,0.0
2017-01-02T04:00:00,57.262634,341.67886,48.7265,341.02948,65.159996,1018.2,7.1,6.0,30.0,0.0,60.417187,0.1
2017-01-02T05:00:00,55.567257,348.03488,47.599026,347.3302,65.159996,1018.2,7.0,11.0,21.0,26.0,60.17358,0.0
2017-01-02T06:00:00,55.86035,352.96667,47.912468,352.66147,64.439995,1018.7,6.95,8.0,9.0,14.0,59.292423,0.1
2017-01-02T07:00:00,53.232544,353.78827,46.037792,353.26407,63.72,1019.6,6.95,2.0,20.0,0.0,57.37829,0.1
2017-01-02T08:00:00,49.65521,353.33878,43.493008,353.34567,61.199997,1019.9,6.75,13.0,32.0,7.0,57.53652,0.1
2017-01-02T09:00:00,47.021015,348.51804,41.235325,347.90527,57.96,1020.5,7.0,12.0,52.0,3.0,53.72726,0.0
2017-01-02T10:00:00,45.79222,343.55954,40.654503,343.0091,56.519997,1020.7,6.7,57.0,82.0,0.0,54.44219,0.3
