date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2017-01-01T00:00:00,49.394833,226.1811,41.500053,223.94568,54.0,1022.3,7.4,100.0,0.0,0.0,91.46178,0.2
2017-01-01T01:00:00,47.635765,222.85623,39.32083,220.54431,52.92,1022.0,7.25,100.0,0.0,0.0,93.365074,0.1
2017-01-01T02:00:00,48.497223,220.78572,40.480396,218.50067,53.28,1021.1,7.05,100.0,0.0,0.0,93.3548,0.1
2017-01-01T03:00:00,49.873966,219.43488,41.835964,217.65884,54.719997,1020.4,6.65,100.0,0.0,0.0,93.9826,0.0
2017-01-01T04:00:00,50.734455,221.83603,43.14747,220.60121,58.679996,1019.9,6.4,99.0,0.0,0.0,92.35421,0.0
2017-01-01T05:00:00,46.43023,221.22762,40.654503,219.61064,57.6,1019.1,6.25,100.0,0.0,0.0,91.38612,0.0
2017-01-01T06:00:00,47.304054,216.9572,42.05842,215.59477,57.6,1018.3,5.65,100.0,0.0,58.0,91.666435,0.0
2017-01-01T07:00:00,45.72992,213.43988,40.7548,212.00534,56.88,1017.7,4.95,100.0,15.0,84.0,90.97859,0.0
2017-01-01T08:00:00,44.65306,215.48407,40.03938,213.26144,55.8,1017.4,4.75,100.0,83.0,97.0,90.325066,0.0
2017-01-01T09:00:00,40.258884,215.53777,36.84332,213.84537,54.719997,1017.3,4.7,99.0,39.0,97.0,88.42572,0.0
2017-01-01T10:00:00,43.466175,211.45201,38.71465,210.1413,52.56,1016.9,4.45,100.0,100.0,90.0,90.62271,0.1
2017-01-01T11:00:00,44.26829,211.36325,39.33896,209.61472,53.639996,1016.5,4.2,100.0,30.0,100.0,92.87705,0.1
2017-01-01T12:00:00,44.832645,214.20053,40.14605,212.54999,53.639996,1015.7,4.55,100.0,100.0,97.0,93.224335,0.0
2017-01-01T13:00:00,46.61826,210.12895,41.23061,208.13124,55.8,1015.3,4.8,100.0,99.0,97.0,92.5841,0.1
2017-01-01T14:00:00,46.490204,210.73541,41.085762,208.8107,56.88,1014.9,5.15,100.0,100.0,97.0,91.956535,0.1
2017-01-01T15:00:00,50.226128,213.00665,43.6551,211.85509,59.76,1014.7,5.8,99.0,99.0,98.0,91.356255,0.2
2017-01-01T16:00:00,49.82587,217.36674,43.70406,216.96437,59.039997,1015.1,5.9,100.0,100.0,99.0,90.09444,1.0
2017-01-01T17:00:00,47.592216,233.30338,41.112568,232.829,60.120003,1015.5,6.85,100.0,100.0,99.0,87.38755,1.5
2017-01-01T18:00:00,16.299694,313.2101,14.20062,300.46545,54.0,1015.7,7.1,100.0,100.0,94.0,89.56173,1.8
2017-01-01T19:00:00,47.838024,28.30066,40.24922,26.564985,51.12,1016.4,7.1,100.0,100.0,95.0,81.51616,0.9
2017-01-01T20:00:00,37.08175,36.313744,31.89608,36.740658,52.56,1017.2,6.95,100.0,100.0,98.0,80.359085,0.5
2017-01-01T21:00:00,34.776817,27.095472,31.237131,27.450916,42.48,1017.9,6.95,94.0,100.0,97.0,81.49604,0.6
2017-01-01T22:00:00,31.765793,23.36914,28.079998,22.61991,42.12,1018.6,6.95,16.0,100.0,99.0,79.515594,0.3
2017-01-01T23:00:00,26.309572,16.699326,23.34455,17.037857,37.079998,1019.3,7.2,7.0,99.0,10.0,74.92581,0.2
2017-01-02T00:00:00,26.009842,4.763556,23.084955,3.5762644,31.319998,1019.6,7.55,14.0,100.0,86.0,71.87214,0.1
2017-01-02T01:00:00,34.03095,6.0723705,30.018473,5.5053964,38.519997,1019.9,7.5,24.0,100.0,83.0,70.09864,0.0
2017-01-02T02:00:00,34.518726,7.7919936,30.141266,7.5493307,45.719997,1020.7,7.05,3.0,99.0,91.0,79.81038,0.2
2017-01-02T03:00:00,38.540184,8.054327,31.92654,7.12493,39.96,1020.9,8.0,4.0,31.0,6.0,58.068176,0.0
2017-01-02T04:00:00,38.939953,3.179772,33.510952,2.462766,43.199997,1021.4,7.8,1.0,0.0,0.0,59.07693,0.0
2017-01-02T05:00:00,42.121536,359.5103,36.367126,358.8656,47.16,1021.6,7.5,8.0,4.0,0.0,59.646233,0.0
2017-01-02T06:00:00,41.167694,355.48608,35.78697,354.80566,47.88,1021.8,7.35,0.0,0.0,40.0,59.392952,0.0
2017-01-02T07:00:00,44.490234,354.4279,39.119267,353.6599,50.399998,1022.6,7.25,9.0,10.0,80.0,58.938175,0.0
2017-01-02T08:00:00,44.692226,357.22983,39.299404,356.84933,51.839996,1023.0,7.25,6.0,4.0,0.0,58.29883,0.1
2017-01-02T09:00:00,40.345707,357.95462,35.66908,357.6863,51.12,1023.7,7.05,16.0,19.0,0.0,60.185986,0.1
2017-01-02T10:00:00,39.04631,354.71,34.746994,354.05322,46.44,1023.8,7.0,22.0,29.0,0.0,59.737896,0.2
2017-01-02T11:00:00,38.08861,352.94223,34.114628,352.72507,45.36,1024.1,7.0,22.0,24.0,0.0,60.612083,0.0
2017-01-02T12:00:00,34.94968,341.37833,31.193535,341.14676,45.0,1024.5,6.55,25.0,18.0,0.0,64.35184,0.1
2017-01-02T13:00:00,37.064266,335.9245,32.862694,335.40024,42.48,1024.6,6.65,25.0,24.0,0.0,62.085236,0.0
2017-01-02T14:00:00,38.351406,327.6526,34.154495,327.4825,44.639996,1024.4,6.35,20.0,17.0,0.0,68.86978,0.2
2017-01-02T15:00:00,39.439312,326.16483,35.04596,326.3099,46.44,1024.6,6.3,12.0,5.0,0.0,71.37557,0.1
2017-01-02T16:00:00,39.463947,324.27994,35.281837,323.71463,47.16,1024.8,6.45,25.0,29.0,0.0,67.66316,0.1
2017-01-02T17:00:00,38.71465,329.8587,34.69847,329.44412,46.079998,1025.2,6.7,41.0,24.0,0.0,65.08751,0.0
2017-01-02T18:00:00,37.107944,329.7036,33.092598,329.2501,45.719997,1025.2,6.6,41.0,23.0,0.0,63.438457,0.1
2017-01-02T19:00:00,36.575005,331.16458,32.730316,330.33337,43.199997,1025.5,6.5,34.0,47.0,0.0,64.10788,0.0
2017-01-02T20:00:00,35.9946,329.33115,32.169178,328.26654,42.48,1025.3,6.95,35.0,25.0,0.0,63.980587,0.0
2017-01-02T21:00:00,35.281837,323.71463,31.89608,323.25934,41.760002,1025.4,6.95,38.0,34.0,0.0,64.67647,0.1
2017-01-02T22:00:00,33.348125,315.43732,30.293522,314.5186,41.399998,1025.6,6.85,38.0,24.0,0.0,67.992165,0.0
2017-01-02T23:00:00,36.152676,308.1252,32.33193,307.76312,41.399998,1025.5,7.05,36.0,27.0,0.0,68.03458,0.0
2017-01-03T00:00:00,38.939953,303.6901,34.349354,303.02386,46.8,1025.5,6.9,43.0,33.0,0.0,69.97778,0.1
2017-01-03T01:00:00,40.01024,300.25635,35.320385,299.9621,45.719997,1025.2,6.85,39.0,32.0,0.0,71.48253,0.0
2017-01-03T02:00:00,43.14747,296.77878,37.834267,296.56497,49.32,1025.3,6.6,38.0,30.0,0.0,75.89126,0.1
2017-01-03T03:00:00,43.39904,290.38925,37.923225,289.9832,50.039997,1025.3,6.35,66.0,43.0,0.0,79.42726,0.1
2017-01-03T04:00:00,42.805195,288.13028,37.45557,287.9126,50.399998,1025.0,6.3,66.0,56.0,0.0,81.12174,0.1
2017-01-03T05:00:00,43.32731,278.6013,38.183765,278.13,50.399998,1024.8,6.15,76.0,72.0,0.0,85.20242,0.2
2017-01-03T06:00:00,41.835968,273.45325,37.123665,272.7791,51.839996,1024.2,6.05,64.0,65.0,0.0,85.49146,0.0
2017-01-03T07:00:00,41.52659,274.47482,36.44722,273.96457,49.32,1024.1,6.05,12.0,33.0,0.0,80.51571,0.0
2017-01-03T08:00:00,41.784824,271.97488,36.735878,271.68463,49.32,1024.2,6.05,12.0,20.0,0.0,81.08746,0.0
2017-01-03T09:00:00,42.121536,269.5103,36.72706,268.8767,48.96,1024.1,5.95,21.0,19.0,0.0,82.81176,0.0
2017-01-03T10:00:00,42.864193,271.92514,37.45557,271.65228,50.399998,1024.0,5.95,74.0,17.0,6.0,83.398384,0.0
2017-01-03T11:00:00,42.664177,275.32565,37.550602,274.39862,50.76,1023.4,5.85,100.0,14.0,94.0,83.97685,0.0
2017-01-03T12:00:00,46.608532,274.8738,40.06365,274.12222,52.199997,1022.2,6.25,100.0,0.0,13.0,81.68951,0.0
2017-01-03T13:00:00,47.82583,276.48297,41.230606,275.51138,55.079998,1021.7,6.7,100.0,94.0,72.0,81.17644,0.0
2017-01-03T14:00:00,49.97262,276.20334,41.58896,275.46375,55.079998,1020.8,7.0,100.0,26.0,86.0,82.943474,0.3
2017-01-03T15:00:00,50.77021,276.92334,41.266743,276.0089,55.8,1020.5,7.4,100.0,8.0,56.0,81.27155,0.1
2017-01-03T16:00:00,48.89908,276.3401,38.687855,275.33914,54.719997,1020.1,7.5,100.0,12.0,54.0,83.005684,0.1
2017-01-03T17:00:00,50.307343,279.0578,40.373,278.20227,53.639996,1019.9,7.55,100.0,6.0,48.0,83.01189,0.0
2017-01-03T18:00:00,49.562466,281.3099,39.4163,279.46225,52.92,1019.5,7.65,100.0,0.0,80.0,83.89572,0.1
2017-01-03T19:00:00,52.83299,282.99463,42.99702,281.59213,55.44,1018.9,7.8,100.0,0.0,50.0,83.33216,0.0
2017-01-03T20:00:00,55.782574,288.43503,44.41297,286.96622,59.76,1018.5,7.85,100.0,0.0,0.0,84.79768,0.0
2017-01-03T21:00:00,54.792187,286.41086,44.014324,285.17297,59.039997,1018.1,7.85,100.0,0.0,84.0,85.68416,0.0
2017-01-03T22:00:00,55.916008,289.9517,43.9436,288.13818,58.32,1017.5,8.05,100.0,36.0,77.0,83.94288,0.1
2017-01-03T23:00:00,55.82786,292.762,44.121666,291.54105,57.96,1017.2,8.1,100.0,71.0,37.0,84.53246,0.0
2017-01-04T00:00:00,54.436234,295.03976,43.206,293.5747,61.199997,1016.7,8.1,94.0,71.0,64.0,83.36863,0.0
2017-01-04T01:00:00,57.315796,296.88684,45.258457,294.93427,59.039997,1016.3,8.15,98.0,73.0,13.0,84.53814,0.0
2017-01-04T02:00:00,57.852566,301.514,45.14377,299.63144,60.479996,1015.6,8.3,50.0,52.0,0.0,84.26326,0.0
2017-01-04T03:00:00,61.031414,310.4546,48.075836,309.53088,64.079994,1015.6,8.25,94.0,90.0,23.0,85.136185,0.1
2017-01-04T04:00:00,56.01674,322.83545,44.079056,321.63248,64.079994,1015.3,8.25,90.0,95.0,0.0,81.10382,0.2
2017-01-04T05:00:00,56.0364,324.67618,45.657597,324.3047,60.120003,1015.2,8.0,27.0,27.0,4.0,76.12634,0.0
