date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2017-01-01T00:00:00,30.871965,211.65123,16.267857,204.86368,30.599998,1025.0841,-1.5065,100.0,0.0,0.0,93.582115,0.0
2017-01-01T01:00:00,28.772987,211.70139,15.941944,205.40767,28.08,1024.5837,-1.9065,100.0,0.0,0.0,92.52493,0.0
2017-01-01T02:00:00,29.162222,208.77971,15.978484,202.52061,28.8,1023.7838,-2.1065,100.0,0.0,0.0,91.82657,0.0
2017-01-01T03:00:00,30.77737,204.16663,16.62249,197.6502,30.239998,1022.9835,-2.3565,100.0,0.0,0.0,90.78721,0.0
2017-01-01T04:00:00,29.49804,203.7495,16.394829,199.23076,30.599998,1022.2836,-2.6065,100.0,0.0,0.0,89.41806,0.0
2017-01-01T05:00:00,28.512817,204.62355,17.31746,200.69553,32.399998,1021.48334,-2.8565,100.0,0.0,0.0,87.73069,0.0
2017-01-01T06:00:00,28.36471,203.9625,16.854767,199.9832,32.039997,1020.58276,-3.4065,100.0,0.0,9.0,88.67832,0.0
2017-01-01T07:00:00,27.14123,201.80147,18.331741,199.50253,34.2,1019.98346,-3.2565,97.0,0.0,45.0,88.024254,0.0
2017-01-01T08:00:00,27.792374,196.55714,15.815435,191.82146,34.56,1019.3834,-3.3565,88.0,4.0,54.0,89.3552,0.0
2017-01-01T09:00:00,25.729298,197.92801,17.418196,198.06056,35.64,1019.28516,-2.6065,100.0,0.0,6.0,87.75465,0.0
2017-01-01T10:00:00,26.072052,197.68448,16.676977,193.73628,33.48,1018.9869,-1.8065,100.0,0.0,10.0,83.03152,0.0
2017-01-01T11:00:00,26.867676,197.9495,16.946787,192.26476,33.12,1018.48895,-0.7565,100.0,2.0,45.0,82.24105,0.0
2017-01-01T12:00:00,25.671307,202.24907,17.193533,199.57321,34.56,1017.79004,-0.30650002,100.0,4.0,90.0,83.22296,0.0
2017-01-01T13:00:00,30.018473,202.56705,16.862455,196.1135,32.399998,1017.39087,-0.0065,95.0,16.0,91.0,85.44342,0.0
2017-01-01T14:00:00,30.121912,204.7273,17.654688,200.28264,32.399998,1017.0916,0.2435,100.0,35.0,91.0,86.73876,0.0
2017-01-01T15:00:00,32.039997,205.98918,18.455048,200.55612,33.839996,1016.8917,0.3935,61.0,63.0,83.0,89.01007,0.0
2017-01-01T16:00:00,33.818928,205.2011,18.899143,197.74477,34.2,1016.9914,0.1935,98.0,84.0,95.0,90.97091,0.0
2017-01-01T17:00:00,34.51685,210.04128,19.486609,205.14474,36.36,1016.99164,0.3435,100.0,99.0,96.0,91.983925,0.0
2017-01-01T18:00:00,31.981293,211.18492,18.03237,206.05344,35.64,1016.7925,0.6935,100.0,100.0,97.0,90.67519,0.1
2017-01-01T19:00:00,34.54687,213.5245,19.652176,208.44283,36.0,1017.0929,0.9935,99.0,99.0,91.0,90.36777,0.2
2017-01-01T20:00:00,30.466295,215.38036,16.923828,209.29126,36.0,1017.39307,1.0935,100.0,99.0,97.0,92.0312,0.1
2017-01-01T21:00:00,32.44996,220.04967,18.374111,214.62422,32.399998,1017.8928,1.0935,100.0,100.0,91.0,93.71395,0.1
2017-01-01T22:00:00,29.52878,224.9999,16.870138,219.80553,34.2,1018.1926,1.2435,100.0,100.0,88.0,94.401375,0.1
2017-01-01T23:00:00,24.363249,235.84026,11.808878,232.43134,30.239998,1018.8927,1.3935,100.0,100.0,90.0,95.43491,0.1
2017-01-02T00:00:00,16.981165,248.87521,8.714677,231.7098,20.880001,1019.9909,0.5935,98.0,100.0,81.0,96.44886,0.3
2017-01-02T01:00:00,9.3669195,272.20255,6.638072,229.39879,15.4800005,1020.1898,0.1935,84.0,100.0,77.0,97.494156,0.3
2017-01-02T02:00:00,6.6087217,299.35767,4.39436,235.0079,11.5199995,1020.7885,-0.30650002,28.0,100.0,86.0,97.839905,0.4
2017-01-02T03:00:00,8.217153,298.8107,4.510787,241.38963,8.28,1021.1874,-0.9065,28.0,99.0,91.0,97.8293,0.2
2017-01-02T04:00:00,15.530151,314.06088,6.849467,273.01273,10.440001,1021.48785,-0.5565,29.0,98.0,89.0,98.19334,0.1
2017-01-02T05:00:00,18.59845,345.42575,7.145796,310.91428,12.959999,1021.5897,0.44349998,10.0,96.0,42.0,95.74708,0.0
2017-01-02T06:00:00,19.959719,352.7469,8.217153,331.1893,12.959999,1021.79,0.6435,9.0,33.0,0.0,93.69143,0.0
2017-01-02T07:00:00,24.905132,355.85544,10.028439,338.9624,16.199999,1022.3897,0.5935,19.0,0.0,0.0,90.3376,0.0
2017-01-02T08:00:00,28.08923,1.4687687,11.304229,350.8377,19.44,1023.08954,0.7935,3.0,6.0,65.0,84.28555,0.0
2017-01-02T09:00:00,26.28986,358.43066,11.367109,349.04596,19.44,1023.9917,2.2435,0.0,0.0,11.0,82.63503,0.0
2017-01-02T10:00:00,23.469128,355.60138,11.525623,345.52966,19.8,1023.8947,3.7935,12.0,11.0,0.0,78.475586,0.0
2017-01-02T11:00:00,21.322214,348.31067,11.966953,338.83865,20.519999,1024.197,5.1435003,18.0,19.0,0.0,75.91525,0.0
2017-01-02T12:00:00,17.884428,319.89914,9.693296,301.32864,22.68,1024.8967,5.1935,17.0,16.0,0.0,84.19687,0.0
2017-01-02T13:00:00,19.161337,334.39786,11.609651,330.25522,22.319998,1025.2963,5.0435004,29.0,40.0,0.0,75.62605,0.1
2017-01-02T14:00:00,16.485485,328.39255,7.6367526,315.0001,20.16,1025.0947,4.1935,23.0,29.0,0.0,79.96349,0.1
2017-01-02T15:00:00,17.654688,320.79282,6.9247384,297.8972,12.599999,1025.391,2.2435,29.0,0.0,0.0,86.626236,0.0
2017-01-02T16:00:00,19.576189,327.77127,7.9932966,305.83774,13.32,1025.5884,0.7435,19.0,41.0,0.0,86.15593,0.0
2017-01-02T17:00:00,23.4,323.13,9.793059,306.02747,15.4800005,1026.087,0.3435,39.0,39.0,0.0,84.855064,0.0
2017-01-02T18:00:00,24.881702,328.60977,9.686609,318.01288,18.359999,1026.1884,1.0435,32.0,38.0,0.0,83.69913,0.0
2017-01-02T19:00:00,24.482647,323.97253,9.686609,311.98712,18.359999,1026.6881,0.9935,32.0,44.0,0.0,85.24124,0.0
2017-01-02T20:00:00,24.75638,319.1277,10.086427,304.82455,16.56,1026.6881,0.9935,15.0,27.0,0.0,88.73713,0.0
2017-01-02T21:00:00,22.406927,316.30188,9.021574,298.61035,16.919998,1026.5875,0.6435,36.0,27.0,0.0,89.35731,0.0
2017-01-02T22:00:00,17.581125,317.4896,6.830519,288.43503,15.119999,1026.9851,-0.5065,47.0,26.0,0.0,88.9328,0.1
2017-01-02T23:00:00,17.974781,302.7352,7.5685663,267.27374,12.599999,1026.9857,-0.20650001,34.0,10.0,0.0,89.28659,0.0
2017-01-03T00:00:00,22.728518,299.4071,9.531505,280.88547,16.56,1027.0879,0.9935,48.0,0.0,0.0,92.35957,0.0
2017-01-03T01:00:00,24.144167,290.05618,10.1376915,276.11542,17.64,1026.989,1.5935,59.0,0.0,0.0,92.395615,0.0
2017-01-03T02:00:00,25.233406,284.03625,11.183201,273.6913,19.44,1026.989,1.5435,11.0,0.0,0.0,93.062355,0.0
2017-01-03T03:00:00,24.50381,272.52606,10.739833,256.42953,19.44,1027.1875,0.7435,13.0,0.0,0.0,93.69645,0.0
2017-01-03T04:00:00,25.567604,260.2725,12.074766,243.43501,20.880001,1026.9861,-0.056500003,7.0,0.0,0.0,92.63428,0.0
2017-01-03T05:00:00,26.717722,255.96373,12.904882,239.85869,22.319998,1026.7853,-0.5565,30.0,0.0,0.0,92.26526,0.0
2017-01-03T06:00:00,27.792374,253.44284,13.891522,238.78166,24.48,1026.5858,-0.2565,54.0,0.0,0.0,92.28364,0.0
2017-01-03T07:00:00,29.548521,247.80966,15.379206,237.42595,27.359999,1026.2869,0.1935,79.0,1.0,0.0,93.32771,0.0
2017-01-03T08:00:00,30.302078,246.17574,15.876775,237.0306,28.08,1026.3867,0.1435,4.0,8.0,0.0,94.00856,0.0
2017-01-03T09:00:00,31.581665,245.77226,17.287498,238.62704,30.239998,1026.3873,0.5435,21.0,35.0,0.0,93.34625,0.0
2017-01-03T10:00:00,32.058197,245.44955,18.278645,237.87503,32.760002,1026.29,1.8435,80.0,26.0,0.0,91.74662,0.0
2017-01-03T11:00:00,31.259941,241.07367,17.148247,230.9645,32.399998,1025.7925,3.0935,100.0,9.0,0.0,90.20066,0.0
2017-01-03T12:00:00,33.77291,238.51259,18.626305,228.91835,31.68,1024.6936,3.4935,100.0,4.0,0.0,92.83758,0.0
2017-01-03T13:00:00,31.875755,251.56496,19.66536,246.25049,36.0,1024.2955,4.2935004,100.0,4.0,0.0,91.902916,0.0
2017-01-03T14:00:00,33.39473,258.81125,20.523157,254.74483,38.519997,1023.49646,4.6435003,100.0,0.0,2.0,89.68104,0.0
2017-01-03T15:00:00,33.092598,261.87,19.839235,258.4862,38.16,1023.4961,4.4935,100.0,64.0,16.0,87.471565,0.0
2017-01-03T16:00:00,33.99475,264.531,20.12461,259.69522,36.719997,1023.09625,4.5435004,100.0,0.0,92.0,85.6314,0.0
2017-01-03T17:00:00,33.91269,260.83774,19.9954,256.46414,37.079998,1022.7968,4.6935,100.0,3.0,90.0,85.34376,0.0
2017-01-03T18:00:00,35.463196,264.17374,21.2522,259.26114,38.519997,1022.39764,4.9435,100.0,37.0,71.0,84.467,0.0
2017-01-03T19:00:00,35.369884,265.91446,21.129885,261.1797,39.239998,1021.8979,5.0435004,100.0,16.0,59.0,84.778786,0.0
2017-01-03T20:00:00,36.72706,271.1233,21.986542,267.1845,40.32,1021.4984,5.2435,100.0,39.0,6.0,85.102196,0.0
2017-01-03T21:00:00,37.861664,273.27042,23.042812,269.10486,42.12,1021.199,5.3435,100.0,7.0,14.0,85.717255,0.0
2017-01-03T22:00:00,38.221085,273.23962,23.4,270.0,42.839996,1020.49927,5.3435,100.0,0.0,0.0,85.717255,0.0
2017-01-03T23:00:00,39.763298,275.19434,24.130743,271.70978,44.639996,1019.9995,5.3935003,100.0,2.0,64.0,85.42026,0.0
2017-01-04T00:00:00,37.191677,274.44116,21.96,270.0,44.639996,1019.49976,5.3435,100.0,35.0,44.0,84.81275,0.0
2017-01-04T01:00:00,38.08861,277.05774,22.725668,273.63287,41.760002,1019.0006,5.6435003,100.0,3.0,0.0,85.14654,0.0
2017-01-04T02:00:00,38.848316,277.4542,23.469128,274.39862,43.92,1018.30096,5.7935004,100.0,38.0,7.0,85.76522,0.0
2017-01-04T03:00:00,38.351406,279.7275,23.177402,276.24182,43.92,1018.00134,5.9435,100.0,24.0,22.0,86.386375,0.0
2017-01-04T04:00:00,39.378475,284.29034,23.441502,280.6196,43.92,1017.50256,6.4435,100.0,72.0,0.0,86.437225,0.0
2017-01-04T05:00:00,38.344646,294.3994,23.132626,290.97357,43.56,1016.8039,6.9935,100.0,100.0,0.0,85.29481,0.0
2017-01-04T06:00:00,41.392174,310.0607,25.582806,309.28937,46.44,1016.8042,7.1435003,97.0,45.0,0.0,86.50796,0.1
2017-01-04T07:00:00,38.723015,317.2605,23.419376,315.0001,47.16,1017.2037,6.9435,80.0,87.0,2.0,85.28935,0.2
2017-01-04T08:00:00,36.43655,330.39563,21.67487,327.89377,43.199997,1017.403,6.6935,97.0,100.0,0.0,82.61466,0.3
2017-01-04T09:00:00,35.647274,326.95187,21.385939,323.9016,40.32,1018.0021,6.2435,92.0,88.0,0.0,78.29417,0.1
2017-01-04T10:00:00,38.349712,320.33218,23.199759,318.14505,42.839996,1018.0023,6.4435,90.0,98.0,28.0,71.40353,0.0
2017-01-04T11:00:00,40.571537,333.66238,25.43802,333.0724,45.36,1018.50244,6.6435003,16.0,40.0,0.0,67.70459,0.0
2017-01-04T12:00:00,37.490158,318.50363,22.657131,315.64368,52.92,1018.80035,5.5935,24.0,49.0,0.0,80.73746,0.1
2017-01-04T13:00:00,37.798286,319.63553,23.950148,317.43668,50.399998,1018.90094,5.8935003,29.0,28.0,0.0,78.23989,0.4
2017-01-04T14:00:00,36.544872,325.84024,22.392464,323.49847,44.639996,1019.0006,5.6435003,27.0,28.0,0.0,71.76193,0.0
2017-01-04T15:00:00,36.55729,327.87503,21.470612,325.24402,41.760002,1019.5997,5.2935004,20.0,47.0,0.0,69.39913,0.0
2017-01-04T16:00:00,37.247387,327.2315,21.385939,323.9016,41.399998,1019.99817,4.6935,23.0,18.0,0.0,68.77235,0.0
2017-01-04T17:00:00,37.52471,331.95993,21.485697,328.70703,39.239998,1020.29803,4.7435,24.0,16.0,0.0,67.29465,0.0
2017-01-04T18:00:00,37.440002,337.3801,21.42227,335.15762,38.88,1020.8984,5.0435004,18.0,47.0,0.0,61.69655,0.0
2017-01-04T19:00:00,35.603615,335.50812,20.63023,330.75128,41.399998,1021.29816,4.9435,37.0,39.0,0.0,64.92354,0.0
2017-01-04T20:00:00,33.68069,349.53088,18.511143,346.50424,37.44,1021.9978,4.9935,18.0,18.0,0.0,65.65099,0.0
2017-01-04T21:00:00,31.205997,348.6901,16.171976,343.1785,33.48,1022.69653,4.5435004,10.0,12.0,0.0,68.49051,0.0
2017-01-04T22:00:00,27.908709,353.33344,13.358861,345.9637,29.16,1023.2956,4.1435003,32.0,32.0,0.0,68.40568,0.0
2017-01-04T23:00:00,23.828083,355.66776,10.137692,343.49554,23.759998,1023.7942,3.3935,34.0,25.0,0.0,69.00364,0.0
2017-01-05T00:00:00,26.564486,333.43503,12.031756,321.07245,16.919998,1024.6929,3.1435,23.0,42.0,0.0,79.232864,0.0
2017-01-05T01:00:00,25.478743,336.69507,11.304229,322.76508,23.759998,1025.1926,3.0935,31.0,28.0,0.0,79.22532,0.2
2017-01-05T02:00:00,22.104116,343.92636,9.693296,338.19852,28.8,1025.6924,3.1435,30.0,33.0,0.0,78.09005,0.1
2017-01-05T03:00:00,27.067116,346.14856,13.1041975,339.07544,21.96,1026.1935,3.7435,15.0,40.0,0.0,73.238464,0.0
2017-01-05T04:00:00,30.955812,351.30457,16.595179,347.4712,27.72,1026.8938,4.1935,28.0,65.0,0.0,70.960785,0.0
2017-01-05T05:00:00,28.835976,357.13766,15.273505,351.87,30.599998,1027.3936,4.1435003,19.0,24.0,0.0,66.42821,0.0
