date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2017-01-01T00:00:00,40.23312,223.54985,24.29133,219.5881,43.199997,1021.226,3.7435,100.0,0.0,0.0,97.22134,0.0
2017-01-01T01:00:00,38.948273,225.37444,23.233252,220.60121,40.68,1020.72595,3.9435,100.0,0.0,0.0,96.88385,0.0
2017-01-01T02:00:00,38.696228,225.75375,23.000591,219.92033,41.039997,1019.9259,3.7435,100.0,0.0,0.0,97.22134,0.0
2017-01-01T03:00:00,39.23174,227.23119,23.199759,221.85495,40.68,1019.22577,3.8435,100.0,0.0,0.0,96.881355,0.0
2017-01-01T04:00:00,37.67809,225.77412,22.961115,221.18582,41.039997,1018.7257,4.1435003,100.0,1.0,0.0,96.20919,0.0
2017-01-01T05:00:00,38.439167,225.3794,23.977188,221.34767,42.12,1018.0257,4.0435004,100.0,0.0,0.0,96.20618,0.0
2017-01-01T06:00:00,37.936897,223.84663,24.29133,219.5881,42.12,1017.52563,3.8435,100.0,0.0,0.0,95.8611,0.0
2017-01-01T07:00:00,38.776527,221.23587,23.688984,216.34755,42.48,1016.92554,3.4435,100.0,0.0,74.0,95.84792,0.0
2017-01-01T08:00:00,36.424103,222.99747,21.533897,218.21107,41.760002,1016.6255,2.9935,100.0,4.0,93.0,95.49282,0.0
2017-01-01T09:00:00,37.936897,223.84663,22.218153,220.39983,39.96,1016.6261,2.2935,99.0,13.0,95.0,95.12664,0.0
2017-01-01T10:00:00,32.682762,220.53276,20.304129,217.07317,39.96,1016.4261,1.8935,100.0,86.0,99.0,94.77013,0.0
2017-01-01T11:00:00,32.32992,224.54892,20.898613,222.20723,39.6,1016.02606,2.0435,100.0,98.0,100.0,93.76114,0.0
2017-01-01T12:00:00,28.954834,218.43733,18.581022,215.53777,38.16,1015.42596,2.0435,100.0,96.0,97.0,94.43687,0.0
2017-01-01T13:00:00,29.964457,215.21768,19.08,211.89075,34.92,1014.9259,1.8935,100.0,100.0,97.0,93.41707,0.0
2017-01-01T14:00:00,31.452133,213.32631,19.694992,210.78407,34.56,1014.7258,1.6435,100.0,99.0,98.0,93.06783,0.0
2017-01-01T15:00:00,35.815926,219.2894,21.599998,216.86998,38.88,1014.6265,1.3435,100.0,96.0,96.0,92.715454,0.0
2017-01-01T16:00:00,33.09651,224.11868,19.174856,219.6678,38.88,1014.82654,1.2435,100.0,100.0,91.0,92.70971,0.0
2017-01-01T17:00:00,33.004364,230.75458,18.844202,226.54811,34.56,1015.3266,1.2935,100.0,100.0,99.0,93.048615,0.1
2017-01-01T18:00:00,26.474077,247.61981,15.463246,245.22488,33.48,1015.4266,1.2435,100.0,100.0,99.0,95.42944,0.59999996
2017-01-01T19:00:00,21.313093,254.3204,11.165805,249.22766,27.359999,1015.9267,1.3935,100.0,100.0,94.0,96.12498,0.39999998
2017-01-01T20:00:00,19.813087,267.91748,10.308831,257.90524,19.44,1016.226,1.8435,100.0,100.0,96.0,96.48442,0.5
2017-01-01T21:00:00,13.53236,298.61035,7.072878,255.2564,18.0,1016.4261,2.0435,38.0,100.0,94.0,97.18318,0.3
2017-01-01T22:00:00,12.496718,311.49637,5.4477882,262.40546,11.879999,1016.5261,2.1435,23.0,99.0,96.0,95.462204,0.1
2017-01-01T23:00:00,19.174856,309.66782,8.4042845,279.86575,13.679999,1016.7261,2.5435,6.0,100.0,88.0,93.45078,0.0
2017-01-02T00:00:00,23.686249,313.1524,10.495713,292.16638,17.64,1017.3256,2.9435,24.0,90.0,86.0,91.817345,0.0
2017-01-02T01:00:00,23.469128,311.2685,9.983106,295.64096,17.64,1017.3262,2.8935,6.0,84.0,81.0,91.159584,0.0
2017-01-02T02:00:00,27.567635,310.76352,12.72283,295.1148,21.599998,1017.6262,2.8935,6.0,8.0,0.0,90.18548,0.0
2017-01-02T03:00:00,30.760519,325.0079,14.255272,315.0001,24.119999,1017.82623,2.7935,0.0,0.0,0.0,84.52051,0.0
2017-01-02T04:00:00,32.777794,321.24188,16.039202,314.0907,27.0,1017.82623,2.6435,0.0,0.0,0.0,84.809204,0.0
2017-01-02T05:00:00,35.69632,318.27057,18.59845,312.64667,32.039997,1017.82623,2.8435,37.0,29.0,0.0,81.81833,0.0
2017-01-02T06:00:00,36.869694,324.13705,20.150354,318.62158,34.56,1017.7256,3.2435,11.0,4.0,0.0,75.86535,0.0
2017-01-02T07:00:00,37.77256,337.59012,20.929594,333.43503,36.36,1018.7257,3.3935,24.0,15.0,82.0,75.34041,0.0
2017-01-02T08:00:00,35.010807,355.8725,19.917469,353.77426,39.239998,1019.32587,3.2935,16.0,7.0,9.0,86.73254,0.1
2017-01-02T09:00:00,25.982424,356.02756,13.138765,350.53775,34.56,1020.2259,3.2435,11.0,5.0,16.0,85.49029,0.0
2017-01-02T10:00:00,20.730501,339.6768,10.1887,327.99466,22.68,1020.42596,3.8435,14.0,69.0,19.0,81.072296,0.0
2017-01-02T11:00:00,25.6233,335.95578,15.1884165,328.5705,24.84,1020.7253,5.2435,29.0,87.0,5.0,64.04935,0.0
2017-01-02T12:00:00,26.42753,322.19342,15.7908325,316.8476,29.16,1021.22534,4.5935,16.0,99.0,15.0,78.0366,0.0
2017-01-02T13:00:00,26.959166,325.8855,16.135872,321.34018,32.760002,1021.3261,3.9935,19.0,95.0,5.0,80.22265,0.1
2017-01-02T14:00:00,24.967497,317.33734,12.819235,308.15726,28.44,1021.3261,3.5435,30.0,59.0,0.0,80.157684,0.0
2017-01-02T15:00:00,24.850431,308.5302,11.435313,298.1785,24.48,1021.52673,2.2935,19.0,49.0,0.0,81.15087,0.0
2017-01-02T16:00:00,27.416782,293.1986,12.9249525,282.875,21.96,1021.7267,1.6935,17.0,52.0,0.0,87.518715,0.0
