date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2017-01-01T00:00:00,42.518116,244.95383,33.16692,242.87877,41.039997,1021.7,8.7,79.0,0.0,0.0,87.86194,0.0
2017-01-01T01:00:00,45.14377,237.70404,35.246925,235.82297,47.16,1021.3,8.55,38.0,0.0,0.0,90.91244,0.0
2017-01-01T02:00:00,44.63129,236.18172,35.281837,233.71463,45.719997,1020.4,8.4,39.0,0.0,0.0,91.84055,0.0
2017-01-01T03:00:00,45.92223,228.81418,35.64182,225.81836,46.44,1019.7,8.1,67.0,0.0,0.0,92.453606,0.0
2017-01-01T04:00:00,49.426308,222.6386,38.813274,220.48593,50.76,1019.2,7.45,98.0,0.0,0.0,94.01988,0.0
2017-01-01T05:00:00,49.896053,216.78731,40.846912,214.95073,54.0,1018.3,7.1,100.0,0.0,34.0,93.03573,0.0
2017-01-01T06:00:00,50.206768,218.59567,41.33107,217.56866,55.8,1017.5,6.7,97.0,9.0,82.0,92.371895,0.0
2017-01-01T07:00:00,48.63332,214.74887,41.036842,213.55069,55.44,1017.0,6.1,97.0,24.0,89.0,91.058075,0.0
2017-01-01T08:00:00,46.666885,218.10762,39.888584,216.55972,55.8,1016.8,6.1,100.0,97.0,98.0,88.238716,0.0
2017-01-01T09:00:00,46.38415,218.38205,39.6,216.86998,54.0,1016.6,6.1,99.0,77.0,98.0,86.70602,0.0
2017-01-01T10:00:00,44.952454,211.90807,38.896664,210.5999,53.28,1016.3,5.65,100.0,40.0,99.0,89.445946,0.0
2017-01-01T11:00:00,47.13251,212.8404,40.565147,211.57414,54.0,1015.8,5.65,99.0,95.0,99.0,90.39169,0.0
2017-01-01T12:00:00,43.85651,217.99878,37.5851,216.43095,55.8,1015.1,5.55,100.0,100.0,97.0,92.95157,0.1
2017-01-01T13:00:00,47.165497,215.99532,40.846912,214.95073,54.36,1014.7,5.75,100.0,99.0,99.0,93.28743,0.2
2017-01-01T14:00:00,51.16561,219.28938,43.2914,218.58542,57.239998,1014.5,6.2,100.0,100.0,98.0,91.70168,1.1
2017-01-01T15:00:00,47.924637,228.04486,39.74048,227.20262,57.96,1014.3,7.05,100.0,98.0,97.0,89.86889,2.2
2017-01-01T16:00:00,24.023088,250.75038,20.858265,248.74942,52.199997,1014.9,7.05,100.0,100.0,100.0,91.438866,2.3
2017-01-01T17:00:00,35.65454,11.650271,28.528723,10.175456,30.960001,1015.4,7.45,100.0,100.0,97.0,87.44416,1.3
2017-01-01T18:00:00,47.612637,20.353325,41.33734,19.855309,55.8,1015.7,6.9,100.0,100.0,94.0,84.69073,0.5
2017-01-01T19:00:00,33.64989,26.016727,29.462873,26.878069,54.0,1016.6,7.05,99.0,100.0,95.0,77.867805,0.4
2017-01-01T20:00:00,36.77114,18.25766,31.079071,18.225176,39.6,1017.2,7.1,88.0,100.0,98.0,78.426186,0.6
2017-01-01T21:00:00,37.71075,20.684166,32.110706,19.653913,46.079998,1018.0,7.0,36.0,100.0,97.0,79.52295,0.6
2017-01-01T22:00:00,30.853073,19.06929,26.420174,19.916494,42.839996,1018.6,7.2,25.0,99.0,79.0,74.13458,0.1
2017-01-01T23:00:00,31.70658,12.458241,27.607563,12.042557,35.28,1019.2,7.65,16.0,97.0,0.0,67.43631,0.0
2017-01-02T00:00:00,36.504074,5.0920334,31.780067,4.547968,38.519997,1019.6,7.8,19.0,99.0,27.0,66.51303,0.0
2017-01-02T01:00:00,39.966484,7.7650824,34.828953,7.12493,44.28,1020.0,7.0,36.0,88.0,95.0,75.690544,0.2
2017-01-02T02:00:00,37.064266,7.8152027,30.811037,6.70975,45.36,1020.5,8.0,17.0,87.0,36.0,58.068176,0.1
2017-01-02T03:00:00,41.266743,6.0089183,35.428463,5.2470517,47.16,1020.9,7.8,7.0,12.0,0.0,60.589592,0.0
2017-01-02T04:00:00,42.839996,360.0,36.721764,359.4383,47.16,1021.4,7.5,6.0,23.0,0.0,61.175385,0.0
2017-01-02T05:00:00,44.676273,357.69098,37.84283,357.27374,49.68,1021.6,7.3,2.0,1.0,0.0,61.570263,0.0
