date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2017-01-01T00:00:00,34.875435,225.41817,22.771244,219.22566,45.0,1021.675,6.2194996,100.0,0.0,0.0,94.28916,0.0
2017-01-01T01:00:00,38.692883,224.9999,25.305208,219.80553,46.079998,1021.1742,6.5195,100.0,0.0,0.0,95.2866,0.0
2017-01-01T02:00:00,37.97104,227.68982,24.72495,222.04915,46.079998,1020.3739,6.7194996,100.0,0.0,0.0,95.29397,0.0
2017-01-01T03:00:00,38.70628,226.50737,25.233404,222.10866,46.079998,1019.67365,6.4694996,100.0,0.0,0.0,96.27828,0.0
2017-01-01T04:00:00,39.724167,223.53127,25.582806,219.28938,46.8,1019.1741,6.2194996,100.0,0.0,0.0,95.60629,0.0
2017-01-01T05:00:00,41.241608,224.29277,27.333935,220.19197,50.399998,1018.3738,6.0695,100.0,0.0,19.0,94.282486,0.0
2017-01-01T06:00:00,39.28456,221.2846,25.992401,216.55257,50.039997,1017.7736,5.8694997,100.0,0.0,94.0,92.32281,0.0
2017-01-01T07:00:00,40.23795,213.6901,23.667091,206.17523,47.88,1017.2753,4.4694996,87.0,3.0,94.0,92.23898,0.0
2017-01-01T08:00:00,39.24,213.39851,22.862123,206.1615,45.719997,1017.1772,3.2195,98.0,30.0,92.0,92.82218,0.0
2017-01-01T09:00:00,37.045033,214.30785,21.734581,206.56499,42.839996,1017.0778,2.6195,99.0,96.0,100.0,91.1407,0.0
2017-01-01T10:00:00,37.14286,213.53607,22.057161,206.14677,42.839996,1016.7783,2.4195,99.0,94.0,97.0,89.8256,0.0
2017-01-01T11:00:00,34.20568,210.34317,21.603,203.57472,42.839996,1016.27814,2.3695,98.0,47.0,99.0,87.58317,0.0
2017-01-01T12:00:00,31.235058,205.97433,20.858265,201.25058,43.199997,1015.5773,2.7195,99.0,56.0,91.0,88.88616,0.0
2017-01-01T13:00:00,32.535713,204.86368,20.948164,199.0578,41.039997,1015.1777,2.4195,100.0,86.0,99.0,89.8256,0.0
2017-01-01T14:00:00,32.417995,209.98155,20.447239,206.11385,41.399998,1015.0771,2.5695,99.0,86.0,98.0,90.48527,0.0
2017-01-01T15:00:00,37.44346,213.23172,23.584808,211.26367,44.639996,1014.777,2.7195,95.0,96.0,97.0,90.49633,0.0
2017-01-01T16:00:00,35.951363,214.80408,20.774214,207.89719,45.0,1015.17706,2.6695,100.0,44.0,99.0,91.79981,0.0
2017-01-01T17:00:00,40.88497,219.9993,24.26998,212.27562,43.56,1015.4765,3.3695,100.0,99.0,98.0,92.17217,0.1
2017-01-01T18:00:00,17.193533,340.4268,9.227524,339.44388,45.0,1015.57404,4.9195,100.0,100.0,94.0,91.94217,0.2
2017-01-01T19:00:00,37.63679,21.903246,26.208395,20.924576,48.96,1016.5731,5.9694996,100.0,100.0,97.0,81.94124,0.1
2017-01-01T20:00:00,28.883131,10.049289,18.175545,7.969524,47.16,1017.27344,5.8694997,76.0,100.0,100.0,81.92805,0.1
2017-01-01T21:00:00,30.85307,11.441022,20.008356,8.275804,37.8,1017.6735,6.1695,9.0,100.0,96.0,81.67877,0.1
2017-01-01T22:00:00,23.803596,3.46817,14.404499,1.4320632,37.079998,1018.2738,6.0695,0.0,100.0,79.0,80.518456,0.0
2017-01-01T23:00:00,26.042212,354.4471,16.394829,351.15826,29.16,1018.7734,6.2695,21.0,100.0,32.0,75.297386,0.0
2017-01-02T00:00:00,31.883888,353.517,20.06334,350.70676,36.36,1019.1741,5.9195,26.0,97.0,83.0,77.96623,0.0
2017-01-02T01:00:00,32.619255,349.18616,21.046917,347.15228,42.48,1019.5749,5.5695,11.0,95.0,82.0,84.5391,0.0
2017-01-02T02:00:00,31.311724,351.40417,19.48661,348.2749,38.519997,1019.97437,6.1194997,16.0,31.0,0.0,71.340355,0.0
2017-01-02T03:00:00,38.046055,353.4803,24.74329,351.63422,45.36,1020.3745,6.1194997,2.0,0.0,0.0,65.90364,0.0
2017-01-02T04:00:00,39.67847,348.4862,25.932495,346.34955,46.8,1020.7747,5.8694997,1.0,2.0,0.0,64.19472,0.0
2017-01-02T05:00:00,40.862774,345.71887,26.999998,343.73972,49.32,1020.7747,5.8195,2.0,0.0,0.0,60.541344,0.0
2017-01-02T06:00:00,38.82162,341.06088,25.071098,338.9624,48.96,1020.87537,5.6695,1.0,0.0,72.0,60.282627,0.0
2017-01-02T07:00:00,43.763325,344.24875,29.035288,342.68826,53.639996,1021.87573,5.7695,2.0,23.0,32.0,59.86678,0.0
2017-01-02T08:00:00,44.009903,346.75946,29.337238,345.7932,53.28,1022.0758,5.7695,4.0,9.0,0.0,59.86678,0.0
2017-01-02T09:00:00,39.003136,350.97247,26.33911,349.76526,54.0,1022.67535,5.8694997,12.0,18.0,0.0,61.44637,0.0
2017-01-02T10:00:00,37.705597,349.5484,25.772078,347.90527,47.88,1022.8748,6.3195,31.0,14.0,0.0,55.96619,0.0
2017-01-02T11:00:00,35.80507,344.84586,24.482647,342.8972,47.519997,1023.275,6.3195,27.0,42.0,0.0,55.351147,0.1
2017-01-02T12:00:00,34.793587,331.5789,24.023088,330.3617,47.519997,1023.47565,5.8195,28.0,40.0,0.0,66.55667,0.0
