date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2017-01-01T00:00:00,41.2636,215.7702,24.514387,209.95352,43.199997,1023.10754,2.3935,100.0,4.0,0.0,96.155914,0.0
2017-01-01T01:00:00,38.627514,219.32695,24.363249,214.15974,41.399998,1022.606,2.9935,100.0,0.0,0.0,96.1743,0.0
2017-01-01T02:00:00,39.523014,221.67679,24.482647,216.02747,41.760002,1021.8056,2.9935,100.0,0.0,0.0,95.83302,0.0
2017-01-01T03:00:00,40.30071,221.37842,25.277023,215.7275,43.199997,1021.1053,2.8935,100.0,0.0,0.0,95.48924,0.0
2017-01-01T04:00:00,39.87071,219.87175,25.364037,214.59235,43.199997,1020.6056,2.6935,100.0,0.0,0.0,94.80327,0.0
2017-01-01T05:00:00,39.91944,219.14398,24.363249,214.15974,43.56,1019.906,2.3435,100.0,0.0,0.0,93.77593,0.0
2017-01-01T06:00:00,36.95396,215.08356,22.728518,209.40709,41.760002,1019.3063,1.8435,100.0,0.0,0.0,94.089096,0.0
2017-01-01T07:00:00,36.367126,211.6446,23.023117,206.96564,40.68,1018.7073,1.1435,100.0,0.0,42.0,94.05612,0.0
2017-01-01T08:00:00,35.346058,213.36638,22.59699,210.65059,40.68,1018.4078,0.7935,100.0,12.0,93.0,93.35946,0.0
2017-01-01T09:00:00,34.651752,212.69945,23.584808,211.26367,41.760002,1018.3077,0.7435,100.0,66.0,94.0,90.67884,0.0
2017-01-01T10:00:00,32.417995,209.98155,22.702845,207.37762,41.399998,1018.0082,0.5435,100.0,48.0,99.0,89.349014,0.0
2017-01-01T11:00:00,30.75209,207.1649,21.749481,204.44394,41.039997,1017.50793,0.4935,88.0,17.0,99.0,88.04615,0.0
2017-01-01T12:00:00,30.599998,208.07239,22.057161,206.14677,42.839996,1016.80695,0.9935,99.0,98.0,90.0,89.38622,0.0
2017-01-01T13:00:00,30.911821,206.26657,22.077717,204.05734,39.239998,1016.4068,0.8435,100.0,100.0,97.0,90.35647,0.3
2017-01-01T14:00:00,33.00436,206.56499,22.406927,203.6821,39.96,1016.20667,0.8435,100.0,100.0,99.0,91.01688,0.2
2017-01-01T15:00:00,34.942265,207.62099,22.73707,203.31773,40.32,1016.1066,0.8935,100.0,97.0,98.0,91.352066,0.1
2017-01-01T16:00:00,35.545326,213.85104,24.26998,212.27562,42.839996,1016.206,1.1935,100.0,97.0,96.0,90.3828,0.0
2017-01-01T17:00:00,31.602175,222.22972,21.407139,222.27362,42.12,1016.5049,1.7935,100.0,87.0,100.0,89.1287,0.0
2017-01-01T18:00:00,34.875435,224.58183,23.469128,221.26851,40.32,1016.2048,1.9935,100.0,98.0,96.0,91.097336,0.1
2017-01-01T19:00:00,33.3559,235.10922,21.9718,235.0079,40.32,1016.70374,2.5435,100.0,96.0,97.0,91.46307,0.1
2017-01-01T20:00:00,25.153671,260.9422,16.965895,252.71841,41.039997,1017.1026,3.1935,100.0,100.0,99.0,92.49054,0.1
2017-01-01T21:00:00,20.957443,4.92703,10.086427,357.95462,28.8,1017.60095,4.4435,100.0,100.0,95.0,92.56348,0.2
2017-01-01T22:00:00,18.64369,10.007925,9.726665,2.1210518,19.44,1018.00055,4.8435,25.0,99.0,98.0,88.751495,0.1
2017-01-01T23:00:00,18.079027,347.34744,9.504273,335.37646,16.199999,1018.70087,4.7935004,4.0,100.0,91.0,89.061455,0.1
2017-01-02T00:00:00,19.373219,318.01288,10.883676,304.21576,17.28,1019.1011,4.7435,14.0,100.0,98.0,90.324585,0.0
2017-01-02T01:00:00,23.838959,321.7455,13.276144,310.60123,22.319998,1019.2005,4.8935003,33.0,100.0,81.0,88.75578,0.0
2017-01-02T02:00:00,28.019936,339.70233,16.267857,335.13632,30.599998,1019.9009,4.8935003,18.0,96.0,91.0,85.36567,0.1
2017-01-02T03:00:00,29.374763,340.67673,16.267857,335.13632,27.72,1020.10095,4.9935,4.0,14.0,10.0,81.81189,0.0
2017-01-02T04:00:00,33.00436,346.1153,19.137648,343.61038,32.399998,1020.40173,4.8435,0.0,0.0,0.0,75.32002,0.0
2017-01-02T05:00:00,35.97479,341.92758,21.407139,340.3461,36.0,1020.6018,4.6935,1.0,0.0,0.0,74.21503,0.0
2017-01-02T06:00:00,34.76377,338.74942,20.799152,336.54095,36.0,1020.6018,4.6435003,0.0,0.0,0.0,70.79255,0.0
2017-01-02T07:00:00,40.794525,336.6022,25.44566,334.8852,41.760002,1021.4016,4.9435,0.0,0.0,86.0,68.32605,0.0
2017-01-02T08:00:00,42.463215,341.71857,27.09822,340.60208,47.519997,1021.6017,5.0935,0.0,1.0,48.0,66.154526,0.0
2017-01-02T09:00:00,41.64968,345.48325,26.999998,343.73972,46.44,1022.302,5.2435,2.0,0.0,26.0,68.14182,0.0
2017-01-02T10:00:00,34.417206,344.21918,22.657131,342.42865,46.44,1022.6015,5.5435004,13.0,7.0,0.0,69.70207,0.0
2017-01-02T11:00:00,32.10667,342.3776,21.868332,339.77505,38.519997,1023.10046,6.0435004,23.0,33.0,1.0,65.886665,0.0
2017-01-02T12:00:00,24.850431,321.4698,17.072504,317.5638,37.8,1023.50195,5.5435004,15.0,48.0,0.0,75.171486,0.0
2017-01-02T13:00:00,29.574827,328.43823,19.969458,326.0234,37.8,1023.7021,5.2935004,22.0,89.0,0.0,72.47396,0.6
2017-01-02T14:00:00,29.522196,322.43134,18.626305,318.91833,34.2,1023.5026,5.0935,31.0,84.0,0.0,69.10663,0.0
2017-01-02T15:00:00,30.7542,321.6544,19.406637,319.51407,33.48,1023.80334,4.5935,17.0,52.0,0.0,73.92926,0.0
2017-01-02T16:00:00,29.301876,317.4896,17.072504,312.4362,33.12,1024.1047,3.9435,32.0,39.0,0.0,80.50475,0.1
2017-01-02T17:00:00,27.059933,319.3161,15.281989,313.09085,30.960001,1024.605,3.8935,38.0,33.0,0.0,79.34555,0.0
2017-01-02T18:00:00,26.220753,314.44382,14.689588,306.02747,27.0,1024.505,3.8435,25.0,21.0,0.0,80.78094,0.1
2017-01-02T19:00:00,23.78453,309.47244,12.24,298.0724,25.199999,1024.8065,3.3435,19.0,0.0,0.0,83.07526,0.0
2017-01-02T20:00:00,21.794127,300.80136,10.829959,285.4222,20.519999,1024.6069,2.9435,0.0,0.0,0.0,84.537926,0.0
2017-01-02T21:00:00,23.683512,289.53674,11.901798,273.46817,19.8,1024.6069,2.7935,0.0,0.0,0.0,83.005905,0.0
2017-01-02T22:00:00,28.006058,287.96924,14.799459,274.18484,24.48,1024.7063,3.1435,24.0,8.0,0.0,79.80981,0.0
2017-01-02T23:00:00,30.302078,283.04562,16.575644,272.4895,27.72,1024.6057,3.5935,40.0,16.0,0.0,79.014305,0.0
2017-01-03T00:00:00,30.619051,272.02133,16.700275,262.5687,32.760002,1024.8059,3.7435,40.0,31.0,0.0,82.82731,0.0
2017-01-03T01:00:00,31.883888,276.48297,18.733839,267.79745,31.319998,1024.4044,4.1935,37.0,37.0,14.0,81.12072,0.0
2017-01-03T02:00:00,32.919827,283.2764,19.917469,276.22574,33.839996,1024.4044,4.4935,43.0,87.0,0.0,80.87197,0.0
2017-01-03T03:00:00,30.009838,280.36627,18.014393,272.29056,33.839996,1024.3036,4.5935,34.0,50.0,0.0,83.231346,0.0
2017-01-03T04:00:00,30.430117,280.91107,17.673029,273.50345,30.599998,1024.2042,4.4935,31.0,32.0,0.0,87.78256,0.0
