date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2020-04-01T00:00:00,8.669949,311.63345,7.2359104,275.7105,9.36,1025.7098,-1.4195,0.0,0.0,89.0,84.650246,0.0
2020-04-01T01:00:00,10.538843,277.8532,5.95906,244.98314,9.36,1024.9119,-1.1695,1.0,0.0,89.0,82.80305,0.0
2020-04-01T02:00:00,14.264361,259.82455,7.10031,239.53453,11.159999,1024.1125,-1.2695,22.0,0.0,58.0,81.25359,0.0
2020-04-01T03:00:00,19.296133,261.41647,8.699793,245.55606,13.679999,1023.6155,-0.7695,33.0,0.0,0.0,77.16877,0.0
2020-04-01T04:00:00,22.805367,258.15796,10.464797,243.43501,16.919998,1022.9175,-0.5195,32.0,0.0,13.0,75.77502,0.0
2020-04-01T05:00:00,24.535524,255.55592,11.269782,243.43501,18.72,1022.3198,-0.16950001,40.0,0.0,30.0,76.12059,0.0
2020-04-01T06:00:00,25.068514,257.56046,13.237039,247.61981,21.24,1022.125,0.8305,48.0,5.0,0.0,77.14613,0.0
2020-04-01T07:00:00,23.936617,257.84506,13.570615,248.19853,23.759998,1022.0324,2.4305,52.0,21.0,2.0,77.69231,0.0
2020-04-01T08:00:00,19.242327,252.58194,13.570615,248.19853,25.919998,1021.6426,4.5305004,48.0,27.0,0.0,77.18907,0.0
2020-04-01T09:00:00,20.211363,265.91446,15.188415,264.55975,28.8,1021.1518,6.4805,42.0,35.0,0.0,75.602,0.0
2020-04-01T10:00:00,21.398056,282.63336,16.167967,281.5601,31.68,1020.45874,7.8305,75.0,55.0,0.0,67.23505,0.0
2020-04-01T11:00:00,23.068108,292.9638,17.25373,293.3556,33.48,1019.7612,8.2305,100.0,53.0,0.0,62.91153,0.0
2020-04-01T12:00:00,17.377226,283.17255,12.849528,281.3099,32.760002,1019.3617,8.1805,98.0,95.0,0.0,59.38627,0.0
2020-04-01T13:00:00,20.730501,290.3232,15.256526,289.29013,27.0,1018.8623,8.1805,100.0,94.0,0.0,60.46507,0.0
2020-04-01T14:00:00,17.917007,292.4428,12.768586,291.5015,27.359999,1018.36005,7.5805,99.0,97.0,0.0,65.75552,0.0
