date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2020-04-01T00:00:00,9.449572,287.74475,7.172949,252.47433,8.28,1027.3,1.1565,0.0,0.0,0.0,74.115364,0.0
2020-04-01T01:00:00,13.493999,279.21094,11.609651,262.8751,12.599999,1026.5,-0.1935,14.0,0.0,0.0,82.929146,0.0
2020-04-01T02:00:00,15.158522,265.91446,8.557102,255.37909,13.32,1025.6,1.2065,23.0,0.0,0.0,83.71911,0.0
2020-04-01T03:00:00,17.811815,255.96373,8.854829,243.43501,13.679999,1025.2,2.2565,40.0,1.0,0.0,86.31462,0.0
2020-04-01T04:00:00,18.416384,265.51547,8.557102,247.75093,14.04,1024.4,2.5565,52.0,1.0,0.0,89.51396,0.0
2020-04-01T05:00:00,19.917469,276.22574,8.707238,262.8751,14.04,1024.0,3.1565,56.0,1.0,0.0,90.52848,0.0
2020-04-01T06:00:00,22.206486,286.96622,11.659777,278.88058,18.359999,1023.7,4.3065,77.0,11.0,0.0,86.83392,0.0
2020-04-01T07:00:00,22.218153,296.98016,14.84318,292.83368,23.759998,1023.5,5.7064996,58.0,56.0,0.0,81.616844,0.0
2020-04-01T08:00:00,22.539564,296.56497,17.22742,296.02954,29.88,1023.3,6.4564996,59.0,50.0,0.0,76.9518,0.0
2020-04-01T09:00:00,22.73707,293.31772,17.782688,291.3707,32.399998,1022.9,6.9564996,65.0,33.0,0.0,74.61838,0.1
2020-04-01T10:00:00,22.33161,290.77234,17.992796,289.88525,32.760002,1022.5,7.2064996,56.0,29.0,0.0,73.61239,0.0
2020-04-01T11:00:00,23.4,292.6199,18.58451,291.59537,34.92,1021.9,7.5065,67.0,35.0,0.0,73.40687,0.0
2020-04-01T12:00:00,24.269983,290.85452,19.130875,289.79895,35.28,1021.4,7.7064996,61.0,73.0,0.0,71.902054,0.0
2020-04-01T13:00:00,24.735432,291.3369,19.255793,290.80685,35.64,1020.9,7.8564997,39.0,49.0,0.0,68.204865,0.0
2020-04-01T14:00:00,26.61323,293.09686,20.326454,292.93213,36.719997,1020.3,7.8564997,15.0,53.0,0.0,66.763054,0.0
2020-04-01T15:00:00,27.276978,292.50357,20.858265,291.25058,37.44,1019.5,7.6064997,8.0,47.0,0.0,69.62342,0.0
2020-04-01T16:00:00,24.967499,294.7174,18.86139,293.6294,36.719997,1019.2,7.2565,11.0,26.0,0.0,73.62148,0.0
2020-04-01T17:00:00,22.314194,287.8504,16.071491,285.59286,33.12,1018.9,6.7064996,12.0,30.0,0.0,77.26538,0.0
2020-04-01T18:00:00,21.67487,281.49652,11.304229,279.16226,27.0,1018.2,5.5565,10.0,22.0,0.0,83.64564,0.0
2020-04-01T19:00:00,22.553936,278.25934,10.823973,273.814,18.72,1018.5,4.7064996,9.0,15.0,0.0,87.80231,0.0
2020-04-01T20:00:00,22.7057,272.72626,10.805999,268.09088,18.359999,1018.1,4.6064997,17.0,30.0,0.0,89.67812,0.0
2020-04-01T21:00:00,23.78453,267.3975,11.659777,261.11942,19.08,1017.7,4.5565,10.0,10.0,0.0,90.31066,0.0
2020-04-01T22:00:00,25.455843,261.87,12.313893,254.74483,20.16,1017.5,4.2565,0.0,14.0,2.0,89.016464,0.0
2020-04-01T23:00:00,25.772078,257.90524,12.641076,250.0168,20.880001,1017.0,4.0065,2.0,12.0,1.0,88.67939,0.0
2020-04-02T00:00:00,23.83896,255.12427,10.787993,244.2901,20.519999,1016.5,3.7065,1.0,40.0,0.0,86.15544,0.0
2020-04-02T01:00:00,23.664352,256.8094,11.269782,243.43501,18.72,1016.0,4.2064996,5.0,21.0,0.0,87.13364,0.0
2020-04-02T02:00:00,24.031178,261.38443,11.503113,249.86362,18.359999,1015.5,4.1565,22.0,1.0,0.0,89.96108,0.0
2020-04-02T03:00:00,25.420181,257.73523,12.57426,246.3706,20.519999,1014.9,4.5065,58.0,0.0,0.0,90.94767,0.0
2020-04-02T04:00:00,27.897097,252.7341,14.81259,244.05775,24.119999,1014.4,4.8564997,89.0,0.0,0.0,90.33299,0.0
2020-04-02T05:00:00,29.414444,248.45895,16.434305,241.1893,26.28,1014.0,5.2064996,83.0,0.0,0.0,87.84846,0.0
2020-04-02T06:00:00,29.949316,244.35904,18.278645,237.87503,29.16,1013.3,5.7064996,80.0,0.0,0.0,85.755974,0.0
2020-04-02T07:00:00,30.274265,244.65387,19.272614,237.20047,31.319998,1013.2,6.5065,70.0,0.0,0.0,83.75982,0.0
2020-04-02T08:00:00,28.99062,245.02612,21.261345,241.69934,36.36,1012.7,7.6064997,83.0,0.0,0.0,79.05597,0.0
2020-04-02T09:00:00,33.280045,254.30994,25.071096,254.16754,42.48,1012.5,8.5065,56.0,0.0,0.0,74.10667,0.0
2020-04-02T10:00:00,34.56187,247.97688,26.141552,247.3194,45.719997,1011.9,9.2065,9.0,0.0,0.0,68.2466,0.0
2020-04-02T11:00:00,37.51262,243.18912,28.657898,243.11314,50.039997,1011.1,9.7565,12.0,0.0,0.0,63.044895,0.0
2020-04-02T12:00:00,46.929974,253.51117,35.208294,253.97406,56.16,1010.8,9.856501,71.0,2.0,0.0,68.86235,0.0
2020-04-02T13:00:00,45.412827,257.1756,33.971867,257.1419,59.399998,1010.5,8.9065,38.0,1.0,0.0,76.54286,0.0
2020-04-02T14:00:00,46.39533,263.31622,34.428497,263.39526,59.039997,1010.3,8.9565,56.0,1.0,0.0,74.44614,0.0
2020-04-02T15:00:00,47.297203,261.68497,34.569374,261.61682,58.679996,1009.7,8.9565,81.0,1.0,0.0,72.64648,0.0
