date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2020-04-01T00:00:00,20.466246,39.289394,8.534353,27.645891,15.84,1026.8877,0.7435,0.0,0.0,0.0,86.47223,0.0
2020-04-01T01:00:00,18.947083,38.829834,7.729527,27.758451,14.759999,1026.387,0.3435,0.0,0.0,0.0,88.35573,0.0
2020-04-01T02:00:00,17.84816,41.729427,6.9247384,27.897186,13.32,1025.8862,-0.20650001,0.0,0.0,0.0,89.945694,0.0
2020-04-01T03:00:00,15.782622,44.999897,5.991594,32.73523,11.879999,1025.3853,-0.8565,0.0,0.0,0.0,91.23199,0.0
2020-04-01T04:00:00,13.276144,49.398785,7.7043357,37.405437,10.08,1024.8835,-1.8565,0.0,0.0,0.0,93.56405,0.0
2020-04-01T05:00:00,10.990322,58.392544,8.049845,63.435013,10.799999,1024.4832,-2.3065,0.0,0.0,0.0,95.2967,0.0
2020-04-01T06:00:00,9.826088,61.55718,4.0249224,63.435013,9.72,1024.2849,-1.3565,0.0,0.0,0.0,97.10448,0.0
2020-04-01T07:00:00,7.928177,50.52757,3.319036,40.601215,10.799999,1024.1896,1.1935,0.0,0.0,0.0,87.15236,0.0
2020-04-01T08:00:00,4.0249224,26.564985,2.7416782,23.198618,11.879999,1024.1947,3.9435,0.0,0.0,0.0,72.47984,0.0
2020-04-01T09:00:00,6.0347,17.354122,4.5536795,18.435053,15.4800005,1023.89923,6.2435,0.0,0.0,0.0,59.548283,0.0
2020-04-01T10:00:00,6.638072,12.528798,5.1544156,12.094739,18.0,1023.2017,7.4935,0.0,0.0,0.0,53.861176,0.0
2020-04-01T11:00:00,6.162207,6.70975,5.0528407,4.085537,18.0,1022.20355,8.2935,9.0,0.0,0.0,51.195415,0.0
2020-04-01T12:00:00,6.0347,342.64587,4.896529,342.8972,18.72,1021.6047,8.7435,12.0,0.0,0.0,48.223328,0.0
