date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2020-04-01T00:00:00,20.172853,34.82457,8.534353,27.645891,16.199999,1027.4,1.5195,0.0,0.0,0.0,83.14727,0.0
2020-04-01T01:00:00,18.504139,37.092915,8.39657,30.963696,14.759999,1026.9,1.3695,0.0,0.0,0.0,84.0459,0.0
2020-04-01T02:00:00,17.654688,39.207188,7.5942082,31.429514,13.32,1026.3,0.9195,0.0,0.0,0.0,85.85964,0.0
2020-04-01T03:00:00,15.782622,44.999897,6.4096174,38.157276,12.24,1025.8,0.5695,0.0,0.0,0.0,86.77191,0.0
2020-04-01T04:00:00,13.513193,48.2398,5.6002855,44.999897,10.08,1025.3,0.16950001,0.0,0.0,0.0,87.37159,0.0
2020-04-01T05:00:00,11.885453,54.865723,5.692099,55.304783,7.92,1025.0,-0.3305,0.0,0.0,0.0,87.64568,0.0
2020-04-01T06:00:00,10.495713,59.03632,4.510787,61.389645,7.5599995,1024.7,0.4195,0.0,0.0,0.0,85.49065,0.0
2020-04-01T07:00:00,7.928177,50.52757,3.8268526,48.814175,10.440001,1024.7,1.8195,0.0,0.0,0.0,79.90594,0.0
2020-04-01T08:00:00,5.0142193,21.037588,3.7585104,16.699326,12.599999,1024.7,3.7695,0.0,0.0,0.0,71.9198,0.0
2020-04-01T09:00:00,6.725354,15.524177,5.506941,11.3098955,15.84,1024.4,5.6695,0.0,0.0,0.0,60.282627,0.0
2020-04-01T10:00:00,6.87779,6.0089183,5.771239,3.5762644,17.64,1023.7,6.8195,0.0,0.0,0.0,53.48073,0.0
2020-04-01T11:00:00,6.489992,340.55988,5.4833565,336.8014,17.64,1022.8,7.5195,0.0,0.0,0.0,51.167805,0.0
2020-04-01T12:00:00,7.386582,316.9749,6.618519,315.0001,18.72,1022.2,7.9195,0.0,0.0,0.0,46.069622,0.0
2020-04-01T13:00:00,9.422101,313.4519,7.928177,309.47244,20.880001,1021.5,8.5195,0.0,0.0,0.0,43.74101,0.0
2020-04-01T14:00:00,11.457958,316.27295,9.422101,313.4519,21.96,1020.9,8.7195,1.0,0.0,0.0,45.622578,0.0
2020-04-01T15:00:00,15.580141,319.68597,12.738099,317.29062,26.28,1020.2,8.4695,50.0,0.0,0.0,54.519295,0.0
2020-04-01T16:00:00,19.228851,321.8427,15.349684,320.7106,29.16,1019.9,7.6194997,77.0,0.0,0.0,60.109253,0.0
2020-04-01T17:00:00,19.376562,324.8335,14.4,323.13,29.16,1019.7,6.9195,62.0,0.0,0.0,60.1536,0.0
2020-04-01T18:00:00,21.566973,326.57516,13.18308,325.0079,25.56,1019.4,5.7194996,85.0,0.0,0.0,72.5546,0.0
2020-04-01T19:00:00,18.678415,332.44727,9.339208,332.44727,22.319998,1019.6,4.8694997,33.0,0.0,0.0,82.67468,0.0
2020-04-01T20:00:00,17.22742,333.97046,8.217153,331.1893,15.4800005,1019.4,4.4195,2.0,1.0,0.0,86.53693,0.0
2020-04-01T21:00:00,14.654254,332.176,5.991594,327.26477,12.959999,1019.1,3.9695,6.0,3.0,0.0,88.04694,0.0
2020-04-01T22:00:00,13.979872,325.4914,5.6233797,320.1945,9.0,1019.1,3.5695,4.0,4.0,0.0,88.64147,0.0
2020-04-01T23:00:00,10.44,313.6029,8.39657,300.96368,9.72,1018.6,2.5195,6.0,4.0,0.0,90.157005,0.0
2020-04-02T00:00:00,11.435313,298.1785,8.473393,282.26477,9.36,1018.1,2.0195,7.0,3.0,0.0,87.23337,0.0
2020-04-02T01:00:00,10.144082,297.47433,7.928178,267.3975,10.08,1017.6,1.9195,5.0,3.0,0.0,87.54032,0.0
2020-04-02T02:00:00,8.766573,289.1791,7.10031,239.53453,9.36,1017.4,1.3695,5.0,2.0,0.0,86.53681,0.0
2020-04-02T03:00:00,9.746631,265.76367,5.3517847,222.27362,8.64,1016.9,1.1195,7.0,0.0,0.0,85.25535,0.0
2020-04-02T04:00:00,12.413476,253.14151,6.4096174,218.15727,9.36,1016.4,0.9195,27.0,0.0,0.0,85.54578,0.0
2020-04-02T05:00:00,15.379206,253.68607,6.8777895,222.87889,11.159999,1016.1,1.2195001,34.0,0.0,0.0,86.52138,0.0
