date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2020-04-01T00:00:00,19.09358,45.763813,7.8954163,46.8476,16.199999,1027.288,0.9675,0.0,0.0,0.0,78.03056,0.0
2020-04-01T01:00:00,18.11841,49.02836,7.145796,49.085716,13.679999,1026.6871,0.51750004,0.0,0.0,0.0,79.12416,0.0
2020-04-01T02:00:00,15.696165,53.392834,6.193674,54.46224,12.24,1025.9856,-0.5325,0.0,0.0,0.0,83.815025,0.0
2020-04-01T03:00:00,12.768586,49.574005,8.287822,55.6196,10.799999,1025.4839,-1.4825001,0.0,0.0,0.0,85.91754,0.0
2020-04-01T04:00:00,9.673221,44.999897,7.42159,67.16631,10.799999,1024.8845,-1.3825,0.0,0.0,0.0,83.3976,0.0
2020-04-01T05:00:00,7.386582,46.97493,6.12,90.0,8.28,1024.5844,-1.6325,0.0,0.0,0.0,83.053894,0.0
2020-04-01T06:00:00,6.989936,34.50859,5.4119864,86.186005,7.2,1024.3854,-0.98249996,0.0,0.0,0.0,85.971596,0.0
2020-04-01T07:00:00,4.896529,17.102825,2.0991426,120.96369,8.28,1024.1925,2.7175,0.0,0.0,0.0,75.49801,0.0
2020-04-01T08:00:00,1.1384199,288.43503,0.8049845,206.56499,9.0,1024.0972,5.2175,19.0,0.0,0.0,66.18215,0.0
2020-04-01T09:00:00,4.198285,329.03632,3.319036,319.39877,13.32,1023.79956,6.5175004,80.0,0.0,0.0,63.88025,0.0
2020-04-01T10:00:00,6.989936,325.4914,5.8603754,317.4896,18.72,1023.1014,7.3675003,100.0,0.0,0.0,62.257168,0.0
2020-04-01T11:00:00,10.182337,315.0001,8.435069,309.8055,22.68,1022.3022,7.5675,99.0,0.0,0.0,62.529663,0.0
2020-04-01T12:00:00,12.074766,296.56497,10.30883,294.77512,25.199999,1021.80206,7.2675004,100.0,0.0,0.0,64.2849,0.0
2020-04-01T13:00:00,14.693999,300.96368,12.10157,300.37906,27.72,1021.3023,7.3675003,100.0,0.0,0.0,62.9342,0.0
2020-04-01T14:00:00,17.0763,304.69522,13.479583,304.1145,29.88,1020.7026,7.3175,71.0,0.0,0.0,62.245213,0.0
2020-04-01T15:00:00,17.373497,304.01938,13.479583,304.1145,30.960001,1020.0023,7.0675,4.0,0.0,0.0,64.23888,0.0
