date,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain
2020-04-01T00:00:00,8.714677,38.290207,6.439876,63.435013,11.159999,1028.0132,0.5935,0.0,0.0,0.0,82.41992,0.0
2020-04-01T01:00:00,5.4833565,23.198618,3.2399998,90.0,7.5599995,1027.3103,1.8935,0.0,0.0,0.0,77.605644,0.0
2020-04-01T02:00:00,1.2979984,326.3099,2.5455842,171.86998,3.96,1026.6124,0.6435,0.0,0.0,0.0,77.115166,0.0
2020-04-01T03:00:00,6.28713,256.75946,6.12,208.07239,6.8399997,1026.1161,-1.4565,1.0,0.0,0.0,79.116264,0.0
2020-04-01T04:00:00,11.043261,250.9743,7.7043357,217.40543,10.799999,1025.4158,-1.5065,9.0,0.0,0.0,84.00891,0.0
2020-04-01T05:00:00,13.779114,250.1447,6.618519,224.9999,10.799999,1025.0137,-0.5065,28.0,0.0,0.0,85.38772,0.0
2020-04-01T06:00:00,16.171976,253.17851,8.4963045,233.61555,14.04,1024.7096,1.5935,19.0,0.0,0.0,84.688515,0.0
2020-04-01T07:00:00,16.766108,255.06853,10.948973,242.5925,19.8,1024.505,3.8435,17.0,1.0,0.0,81.072296,0.0
2020-04-01T08:00:00,14.973576,260.31128,11.874544,255.96373,23.759998,1024.4025,5.4435,34.0,2.0,0.0,75.6946,0.0
2020-04-01T09:00:00,14.759999,270.0,11.570515,264.64426,25.199999,1024.1003,6.3935003,50.0,16.0,0.0,74.25388,0.0
2020-04-01T10:00:00,14.04,270.0,11.183201,266.3087,25.199999,1023.39874,7.1935,71.0,40.0,0.0,68.79863,0.0
2020-04-01T11:00:00,14.417988,272.86234,11.5199995,270.0,25.199999,1022.59766,7.5935,86.0,45.0,0.0,65.75842,0.0
2020-04-01T12:00:00,17.447933,248.19853,13.854155,245.43285,26.28,1022.1975,7.4935,79.0,28.0,0.0,63.876255,0.2
2020-04-01T13:00:00,19.06301,259.1145,15.111424,257.61926,29.519999,1021.59717,7.6935,89.0,45.0,0.0,62.784935,0.0
2020-04-01T14:00:00,18.416384,274.48453,14.440443,274.28906,29.519999,1021.0969,7.4435,100.0,83.0,0.0,66.434906,0.0
2020-04-01T15:00:00,15.192682,283.70697,11.792404,282.33908,27.72,1020.3973,7.0935,100.0,100.0,0.0,69.51888,0.2
2020-04-01T16:00:00,11.165805,290.77234,8.311245,287.6502,22.68,1020.0977,6.7435,99.0,99.0,0.0,73.26688,0.3
2020-04-01T17:00:00,8.707238,277.1249,6.12,270.0,15.84,1019.69824,6.4935,99.0,76.0,0.0,77.50523,0.1
2020-04-01T18:00:00,11.901798,273.46817,6.849467,266.98727,11.5199995,1019.0985,6.0935,97.0,42.0,0.0,81.380585,0.0
2020-04-01T19:00:00,15.856356,272.6025,9.0,270.0,14.759999,1019.29926,5.7935004,97.0,10.0,0.0,81.91801,0.0
2020-04-01T20:00:00,18.448023,275.59924,10.440001,270.0,18.0,1018.99976,5.4435,91.0,9.0,0.0,83.336296,0.0
2020-04-01T21:00:00,19.083395,271.0809,10.495713,264.09396,18.359999,1018.70026,5.0935,73.0,7.0,0.0,85.085526,0.0
2020-04-01T22:00:00,19.35314,260.36252,10.587917,252.18102,18.0,1018.5002,4.8935003,48.0,4.0,0.0,85.36567,0.0
2020-04-01T23:00:00,22.253124,260.69012,12.0694,252.64589,20.519999,1018.1012,4.3935003,3.0,12.0,11.0,86.53428,0.0
2020-04-02T00:00:00,19.353138,251.56496,9.511088,240.5242,20.880001,1017.5016,4.1435003,17.0,8.0,0.0,84.979256,0.0
2020-04-02T01:00:00,21.758419,253.66388,10.630672,241.69934,17.64,1017.1013,3.8935,4.0,18.0,0.0,84.95111,0.0
2020-04-02T02:00:00,23.598541,248.52315,11.681987,236.3099,19.8,1016.60175,3.6435,2.0,14.0,0.0,84.92288,0.0
2020-04-02T03:00:00,23.683512,250.46326,11.983188,237.26477,20.16,1016.0021,3.4435,11.0,2.0,0.0,86.12791,0.0
2020-04-02T04:00:00,24.606731,249.44386,12.4811535,236.76828,21.24,1015.60187,3.3435,22.0,1.0,0.0,87.6752,0.0
2020-04-02T05:00:00,26.250393,244.84073,13.830749,231.34016,23.4,1015.2017,3.3435,27.0,0.0,0.0,88.6218,0.0
2020-04-02T06:00:00,27.553524,241.09091,15.815435,228.69148,26.28,1014.6001,3.9935,30.0,0.0,0.0,87.11285,0.0
2020-04-02T07:00:00,26.486313,238.90276,16.363178,230.35587,29.16,1014.49756,5.3435,39.0,0.0,0.0,84.51312,0.0
2020-04-02T08:00:00,24.464113,237.01147,17.713316,232.43134,32.760002,1014.1949,6.6935,17.0,0.0,0.0,80.322754,0.0
2020-04-02T09:00:00,26.302181,239.5743,19.67195,235.43741,37.079998,1013.8929,7.9935,7.0,0.0,0.0,74.275986,0.0
2020-04-02T10:00:00,28.576382,250.88017,21.659916,248.5522,41.039997,1013.4907,9.0935,51.0,0.0,36.0,62.88984,0.0
2020-04-02T11:00:00,29.414444,248.45895,22.127556,248.02544,42.12,1012.589,9.6935,78.0,0.0,28.0,57.66821,0.0
2020-04-02T12:00:00,37.123665,250.15921,27.682571,249.44386,46.079998,1012.2882,10.0435,64.0,11.0,0.0,57.963627,0.0
2020-04-02T13:00:00,44.12754,258.23172,32.335934,258.4399,57.96,1011.9894,9.5435,94.0,2.0,0.0,61.888054,0.0
2020-04-02T14:00:00,43.34974,258.50348,31.278593,258.04343,58.32,1011.5898,8.9935,94.0,2.0,0.0,69.16979,0.0
2020-04-02T15:00:00,42.730953,260.29968,30.78368,259.21576,57.6,1011.2903,8.8435,68.0,1.0,0.0,68.653336,0.0
2020-04-02T16:00:00,41.041576,256.81702,28.988384,255.61856,54.719997,1010.79004,8.7935,45.0,1.0,0.0,70.604836,0.0
2020-04-02T17:00:00,38.383495,246.80139,25.925,244.50249,50.76,1010.2904,8.393499,30.0,3.0,0.0,75.396225,0.0
2020-04-02T18:00:00,39.626175,245.29759,25.759504,243.43501,45.0,1010.09155,7.6935,100.0,68.0,0.0,79.06895,0.0
2020-04-02T19:00:00,40.57952,248.67047,26.903828,245.49261,46.079998,1010.19165,7.7435,100.0,83.0,0.0,79.91051,0.0
2020-04-02T20:00:00,40.796116,254.12398,26.980793,251.3232,47.16,1010.09155,7.6435003,29.0,49.0,0.0,83.31308,0.0
2020-04-02T21:00:00,36.764088,267.1937,23.828083,265.66776,46.079998,1010.1923,7.0435004,100.0,55.0,0.0,89.24706,0.3
2020-04-02T22:00:00,18.947083,308.82983,11.923557,298.88647,40.68,1010.49243,7.0435004,53.0,88.0,0.0,90.18047,0.2
2020-04-02T23:00:00,18.057508,336.5014,10.1887,327.99466,20.519999,1010.7938,6.6435003,91.0,94.0,0.0,83.7762,0.0
2020-04-03T00:00:00,17.414474,330.25522,9.290511,324.46225,21.24,1010.9933,6.9435,29.0,50.0,0.0,83.22736,0.0
2020-04-03T01:00:00,15.7908325,335.77228,6.792466,327.99466,16.56,1011.1953,5.7935004,13.0,55.0,0.0,84.267,0.0
2020-04-03T02:00:00,12.397806,334.17905,6.489992,326.3099,11.159999,1011.3967,4.9935,15.0,37.0,0.0,88.45152,0.0
2020-04-03T03:00:00,14.480773,325.1246,6.1305785,319.7637,10.08,1011.99695,4.8935003,55.0,41.0,0.0,88.44274,0.0
2020-04-03T04:00:00,17.339897,318.36655,7.386582,313.0251,11.879999,1012.3972,5.2435,75.0,23.0,0.0,86.01016,0.0
2020-04-03T05:00:00,18.335276,316.5911,8.669949,311.63345,15.119999,1012.7967,5.5935,46.0,27.0,0.0,82.474075,0.0
2020-04-03T06:00:00,17.84816,311.72943,10.296251,306.46933,16.56,1013.3964,5.8435,39.0,26.0,0.0,84.57051,0.0
2020-04-03T07:00:00,16.363178,309.64413,11.808878,307.56866,21.599998,1013.7953,6.3435,27.0,21.0,0.0,82.27982,0.1
2020-04-03T08:00:00,14.986553,294.10223,11.298495,292.47946,23.039999,1014.1949,6.8935003,13.0,21.0,0.0,79.22779,0.0
2020-04-03T09:00:00,16.434305,298.8107,12.879752,296.56497,27.0,1014.8946,7.3935003,22.0,40.0,0.0,73.38619,0.1
2020-04-03T10:00:00,17.727943,299.1675,14.021525,299.1974,28.8,1015.5936,7.9935,71.0,40.0,0.0,65.14599,0.1
2020-04-03T11:00:00,19.966211,295.64096,15.617529,295.97433,31.68,1015.99255,8.4935,54.0,51.0,0.0,60.541897,0.1
2020-04-03T12:00:00,20.523157,291.61484,15.978484,292.5206,32.039997,1016.4928,8.8435,64.0,30.0,0.0,61.06273,0.1
2020-04-03T13:00:00,23.806318,290.3533,18.11841,290.95584,34.56,1016.99304,8.8435,95.0,81.0,0.0,59.126083,0.1
2020-04-03T14:00:00,28.66468,295.27768,21.734581,296.56497,40.32,1017.49457,8.0435,90.0,81.0,0.0,64.924995,0.3
2020-04-03T15:00:00,26.674032,291.3707,19.855558,292.3802,40.32,1017.79474,8.0435,88.0,82.0,0.0,59.997555,0.0
2020-04-03T16:00:00,30.085318,291.03757,21.99538,291.10492,41.039997,1018.19556,7.5435004,83.0,17.0,17.0,59.65709,0.0
2020-04-03T17:00:00,26.299719,289.1791,18.671474,289.13373,40.32,1018.6965,7.0435004,26.0,0.0,0.0,56.157486,0.0
2020-04-03T18:00:00,23.358423,298.5399,14.168641,297.21603,32.760002,1019.0985,6.2435,2.0,0.0,0.0,58.468037,0.0
2020-04-03T19:00:00,16.746773,295.46332,7.172949,287.52567,24.84,1019.70135,4.5435004,0.0,0.0,0.0,69.75014,0.0
2020-04-03T20:00:00,16.954432,273.65216,7.6367526,261.87,12.24,1020.2029,3.9935,0.0,0.0,0.0,76.82315,0.0
2020-04-03T21:00:00,18.175545,262.0305,8.089993,249.14546,14.4,1020.60376,3.7435,2.0,0.0,0.0,82.23392,0.0
2020-04-03T22:00:00,18.1041,252.64589,7.9932966,234.16226,13.679999,1021.0046,3.3435,0.0,1.0,0.0,85.19458,0.0
2020-04-03T23:00:00,19.272614,237.20047,8.4963045,216.38445,14.04,1021.5055,3.0435,5.0,0.0,0.0,86.39612,0.0
2020-04-04T00:00:00,21.767351,214.21576,10.931203,197.24155,18.0,1021.6055,2.8935,0.0,0.0,0.0,83.62106,0.0
