date,wind_speed_100m,wind_speed_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,wind_direction_100m_sin,wind_direction_100m_cos,wind_direction_10m_sin,wind_direction_10m_cos
2017-01-01 00:00:00,49.394833,41.500053,54.0,1022.3,7.4,100.0,0.0,0.0,91.46178,0.2,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.7215318734836982,-0.6923812212553895,-0.6939760790326659,-0.7199980567546326
2017-01-01 01:00:00,47.635765,39.32083,52.92,1022.0,7.25,100.0,0.0,0.0,93.365074,0.1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6801610584362607,-0.7330627084955731,-0.6500359181143679,-0.7599034841091405
2017-01-01 02:00:00,48.497223,40.480396,53.28,1021.1,7.05,100.0,0.0,0.0,93.3548,0.1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6532319155360492,-0.7571578861275261,-0.6225237881847477,-0.7826008772957715
2017-01-01 03:00:00,49.873966,41.835964,54.719997,1020.4,6.65,100.0,0.0,0.0,93.9826,0.0,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6352008132260615,-0.7723470249032814,-0.610958485241015,-0.7916626360464439
2017-01-01 04:00:00,50.734455,43.14747,58.679996,1019.9,6.4,99.0,0.0,0.0,92.35421,0.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6670011251460795,-0.7450567086161054,-0.6507902517796473,-0.7592575638007061
2017-01-01 05:00:00,46.43023,40.654503,57.6,1019.1,6.25,100.0,0.0,0.0,91.38612,0.0,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6590520926563044,-0.7520972936830354,-0.6375670654025848,-0.7703948579228292
2017-01-01 06:00:00,47.304054,42.05842,57.6,1018.3,5.65,100.0,0.0,58.0,91.666435,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.601218273837393,-0.79908484355792,-0.5820487473094159,-0.8131538942632813
2017-01-01 07:00:00,45.72992,40.7548,56.88,1017.7,4.95,100.0,15.0,84.0,90.97859,0.0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5510616919503599,-0.8344645059346782,-0.5299983005077322,-0.8479987036894076
2017-01-01 08:00:00,44.65306,40.03938,55.8,1017.4,4.75,100.0,83.0,97.0,90.325066,0.0,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5804765839584857,-0.8142769402825351,-0.5484601962222034,-0.8361766638455669
2017-01-01 09:00:00,40.258884,36.84332,54.719997,1017.3,4.7,99.0,39.0,97.0,88.42572,0.0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5812395032869957,-0.8137325357995012,-0.5569534609624693,-0.8305437028368388
2017-01-01 10:00:00,43.466175,38.71465,52.56,1016.9,4.45,100.0,100.0,90.0,90.62271,0.1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5217842241810895,-0.8530775014005109,-0.5021342261130134,-0.8647896963805045
2017-01-01 11:00:00,44.26829,39.33896,53.639996,1016.5,4.2,100.0,30.0,100.0,92.87705,0.1,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5204620499685244,-0.8538848016814453,-0.4941652343671215,-0.8693680009885847
2017-01-01 12:00:00,44.832645,40.14605,53.639996,1015.7,4.55,100.0,100.0,97.0,93.224335,0.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5620910285260585,-0.8270753748302011,-0.5380352544278325,-0.842922336275874
2017-01-01 13:00:00,46.61826,41.23061,55.8,1015.3,4.8,100.0,99.0,97.0,92.5841,0.1,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5019478106195164,-0.8648979103999929,-0.47149278279216333,-0.8818699199853127
2017-01-01 14:00:00,46.490204,41.085762,56.88,1014.9,5.15,100.0,100.0,97.0,91.956535,0.1,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5110742272133544,-0.8595365811169834,-0.4819173161740449,-0.8762166971540806
2017-01-01 15:00:00,50.226128,43.6551,59.76,1014.7,5.8,99.0,99.0,98.0,91.356255,0.2,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5447363711386968,-0.838607349096491,-0.5277727252154804,-0.8493856312174259
2017-01-01 16:00:00,49.82587,43.70406,59.039997,1015.1,5.9,100.0,100.0,99.0,90.09444,1.0,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6069145824994999,-0.7947670662209511,-0.6013182666926981,-0.7990096007819238
2017-01-01 17:00:00,47.592216,41.112568,60.120003,1015.5,6.85,100.0,100.0,99.0,87.38755,1.5,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.8018108980282107,-0.5975778474836516,-0.796835831093382,-0.6041958774153621
2017-01-01 18:00:00,16.299694,14.20062,54.0,1015.7,7.1,100.0,100.0,94.0,89.56173,1.8,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.7288479453271198,0.6846755966093985,-0.8619350551150793,0.5070186986332608
2017-01-01 19:00:00,47.838024,40.24922,51.12,1016.4,7.1,100.0,100.0,95.0,81.51616,0.9,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,0.4740983513866756,0.880471892346619,0.4472125624291878,0.8944277075345552
